,,,PA_10min,,PA_10min,,PA_10min,,TA_10min,,TA_10min,,TA_10min,,UR_10min,,UR_10min,,UR_10min,,RG_10min,,RG_10min,,RG_10min,,US_20_10min,,US_20_10min,,US_20_10min,,US_60_10min,,US_60_10min,,US_60_10min,,US_40_10min,,US_40_10min,,US_40_10min,,TS_20_10min,,TS_20_10min,,TS_20_10min,,TS_60_10min,,TS_60_10min,,TS_60_10min,,TS_40_10min,,TS_40_10min,,TS_40_10min,,UF_10min,,UF_10min,,UF_10min,,VV_DV_10min,,VV_DV_10min,,VV_DV_10min,,VV_DV_10min,,VV_DV_10min,,VV_DV_10min,,SParServer,,Charger,
date,time,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,DirAvg10m,status,GustDir,status,LullDir,status,SpdAvg10m,status,SpdMax10m,status,SpdMin10m,status,PP_10min,status,External_DC,
6/29/17,12:00:02 AM,VALID,886.81,VALID,905.8,VALID,767.0,VALID,13.685,VALID,30.8,VALID,11.6,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,0.041,VALID,0.066,VALID,0.018,VALID,11.906,VALID,11.924,VALID,11.88,VALID,19.124,VALID,19.141,VALID,19.121,VALID,9.77,VALID,9.8,VALID,9.73,VALID,15.6,VALID,15.6,VALID,15.6,VALID,15.8,VALID,15.8,VALID,15.8,VALID,15.26,VALID,15.3,VALID,15.2,VALID,328.979,VALID,328.979,VALID,328.979,VALID,53.0,VALID,62.0,VALID,110.0,VALID,0.661,VALID,1.398,VALID,0.102,VALID,0.0,VALID,12.385,
6/29/17,12:10:02 AM,VALID,905.987,VALID,906.1,VALID,905.7,VALID,11.522,VALID,11.6,VALID,11.5,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,0.038,VALID,0.079,VALID,0.0,VALID,11.909,VALID,11.924,VALID,11.902,VALID,19.131,VALID,19.141,VALID,19.102,VALID,9.751,VALID,9.8,VALID,9.707,VALID,15.6,VALID,15.6,VALID,15.6,VALID,15.8,VALID,15.8,VALID,15.8,VALID,15.26,VALID,15.3,VALID,15.2,VALID,328.979,VALID,328.979,VALID,328.979,VALID,117.0,VALID,138.0,VALID,87.0,VALID,0.967,VALID,1.398,VALID,0.703,VALID,0.0,VALID,12.381,
6/29/17,12:20:02 AM,VALID,906.107,VALID,906.2,VALID,906.0,VALID,11.575,VALID,11.7,VALID,11.5,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,0.028,VALID,0.063,VALID,0.004,VALID,11.904,VALID,11.924,VALID,11.88,VALID,19.121,VALID,19.141,VALID,19.102,VALID,9.767,VALID,9.8,VALID,9.73,VALID,15.6,VALID,15.6,VALID,15.6,VALID,15.8,VALID,15.8,VALID,15.8,VALID,15.25,VALID,15.3,VALID,15.2,VALID,328.979,VALID,328.979,VALID,328.979,VALID,184.0,VALID,128.0,VALID,207.0,VALID,1.106,VALID,1.602,VALID,0.602,VALID,0.0,VALID,12.371,
6/29/17,12:30:02 AM,VALID,906.28,VALID,906.7,VALID,906.1,VALID,11.812,VALID,12.0,VALID,11.7,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,0.019,VALID,0.051,VALID,0.0,VALID,11.906,VALID,11.924,VALID,11.902,VALID,19.133,VALID,19.141,VALID,19.121,VALID,9.763,VALID,9.777,VALID,9.73,VALID,15.6,VALID,15.6,VALID,15.6,VALID,15.8,VALID,15.8,VALID,15.8,VALID,15.27,VALID,15.3,VALID,15.2,VALID,328.979,VALID,328.979,VALID,328.979,VALID,135.0,VALID,131.0,VALID,161.0,VALID,0.884,VALID,1.703,VALID,0.102,VALID,0.0,VALID,12.358,
6/29/17,12:40:02 AM,VALID,906.697,VALID,906.8,VALID,906.6,VALID,11.607,VALID,11.7,VALID,11.5,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,0.032,VALID,0.066,VALID,0.0,VALID,11.905,VALID,11.924,VALID,11.902,VALID,19.128,VALID,19.16,VALID,19.121,VALID,9.756,VALID,9.777,VALID,9.707,VALID,15.6,VALID,15.6,VALID,15.6,VALID,15.8,VALID,15.8,VALID,15.8,VALID,15.25,VALID,15.3,VALID,15.2,VALID,328.979,VALID,328.979,VALID,328.979,VALID,189.0,VALID,246.0,VALID,72.0,VALID,0.409,VALID,1.0,VALID,0.0,VALID,0.0,VALID,12.368,
6/29/17,12:50:02 AM,VALID,906.777,VALID,907.1,VALID,906.6,VALID,11.722,VALID,11.8,VALID,11.6,VALID,95.42,VALID,96.6,VALID,94.2,VALID,0.033,VALID,0.047,VALID,0.024,VALID,11.906,VALID,11.924,VALID,11.902,VALID,19.137,VALID,19.16,VALID,19.121,VALID,9.758,VALID,9.777,VALID,9.73,VALID,15.6,VALID,15.6,VALID,15.6,VALID,15.8,VALID,15.8,VALID,15.8,VALID,15.27,VALID,15.3,VALID,15.2,VALID,328.979,VALID,328.979,VALID,328.979,VALID,146.0,VALID,131.0,VALID,164.0,VALID,0.506,VALID,1.203,VALID,0.0,VALID,0.0,VALID,12.368,
6/29/17,1:00:02 AM,VALID,907.267,VALID,907.4,VALID,907.0,VALID,11.512,VALID,11.6,VALID,11.5,VALID,99.117,VALID,100.0,VALID,94.0,VALID,0.04,VALID,0.076,VALID,0.0,VALID,11.909,VALID,11.924,VALID,11.902,VALID,19.139,VALID,19.16,VALID,19.121,VALID,9.767,VALID,9.8,VALID,9.73,VALID,15.6,VALID,15.6,VALID,15.6,VALID,15.81,VALID,15.9,VALID,15.8,VALID,15.23,VALID,15.3,VALID,15.2,VALID,328.979,VALID,328.979,VALID,328.979,VALID,140.0,VALID,163.0,VALID,129.0,VALID,0.582,VALID,0.797,VALID,0.203,VALID,0.0,VALID,12.365,
6/29/17,1:10:02 AM,VALID,907.363,VALID,907.6,VALID,907.3,VALID,11.513,VALID,11.6,VALID,11.5,VALID,100.0,VALID,100.0,VALID,100.0,VALID,0.036,VALID,0.058,VALID,0.024,VALID,11.908,VALID,11.924,VALID,11.902,VALID,19.133,VALID,19.16,VALID,19.102,VALID,9.767,VALID,9.8,VALID,9.753,VALID,15.6,VALID,15.6,VALID,15.6,VALID,15.8,VALID,15.8,VALID,15.8,VALID,15.26,VALID,15.3,VALID,15.2,VALID,328.979,VALID,328.979,VALID,328.979,VALID,180.0,VALID,163.0,VALID,268.0,VALID,0.479,VALID,1.0,VALID,0.0,VALID,0.0,VALID,12.362,
6/29/17,1:20:02 AM,VALID,907.398,VALID,907.4,VALID,907.3,VALID,11.448,VALID,11.5,VALID,11.4,VALID,100.0,VALID,100.0,VALID,100.0,VALID,0.032,VALID,0.066,VALID,0.007,VALID,11.9,VALID,11.902,VALID,11.88,VALID,19.135,VALID,19.141,VALID,19.121,VALID,9.767,VALID,9.8,VALID,9.73,VALID,15.6,VALID,15.6,VALID,15.6,VALID,15.8,VALID,15.8,VALID,15.8,VALID,15.28,VALID,15.3,VALID,15.2,VALID,328.979,VALID,328.979,VALID,328.979,VALID,137.0,VALID,114.0,VALID,164.0,VALID,0.784,VALID,1.203,VALID,0.0,VALID,0.0,VALID,12.358,
