,,,PA_10min,,PA_10min,,PA_10min,,TA_10min,,TA_10min,,TA_10min,,UR_10min,,UR_10min,,UR_10min,,RG_10min,,RG_10min,,RG_10min,,US_20_10min,,US_20_10min,,US_20_10min,,US_60_10min,,US_60_10min,,US_60_10min,,US_40_10min,,US_40_10min,,US_40_10min,,TS_20_10min,,TS_20_10min,,TS_20_10min,,TS_60_10min,,TS_60_10min,,TS_60_10min,,TS_40_10min,,TS_40_10min,,TS_40_10min,,UF_10min,,UF_10min,,UF_10min,,VV_DV_10min,,VV_DV_10min,,VV_DV_10min,,VV_DV_10min,,VV_DV_10min,,VV_DV_10min,,SParServer,,Charger,
date,time,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,DirAvg10m,status,GustDir,status,LullDir,status,SpdAvg10m,status,SpdMax10m,status,SpdMin10m,status,PP_10min,status,External_DC,
11/25/17,12:00:03 AM,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,0.0,VALID,0.0,VALID,0.0,VALID,9.555,VALID,9.567,VALID,9.543,VALID,19.203,VALID,19.218,VALID,19.199,VALID,10.659,VALID,10.678,VALID,10.632,VALID,21.11,VALID,21.2,VALID,21.1,VALID,19.9,VALID,19.9,VALID,19.9,VALID,20.05,VALID,20.1,VALID,20.0,VALID,428.467,VALID,429.688,VALID,426.636,VALID,74.0,VALID,71.0,VALID,66.0,VALID,1.023,VALID,3.602,VALID,0.102,VALID,0.0,VALID,12.408,
11/25/17,12:10:02 AM,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,0.0,VALID,0.0,VALID,0.0,VALID,9.555,VALID,9.567,VALID,9.543,VALID,19.203,VALID,19.218,VALID,19.199,VALID,10.659,VALID,10.701,VALID,10.632,VALID,21.12,VALID,21.2,VALID,21.1,VALID,19.9,VALID,19.9,VALID,19.9,VALID,20.06,VALID,20.1,VALID,20.0,VALID,423.767,VALID,428.467,VALID,418.701,VALID,68.0,VALID,65.0,VALID,42.0,VALID,2.072,VALID,4.203,VALID,0.398,VALID,0.0,VALID,12.387,
11/25/17,12:20:02 AM,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,0.026,VALID,0.049,VALID,0.0,VALID,9.562,VALID,9.567,VALID,9.543,VALID,19.201,VALID,19.218,VALID,19.199,VALID,10.664,VALID,10.678,VALID,10.632,VALID,21.18,VALID,21.2,VALID,21.1,VALID,19.91,VALID,20.0,VALID,19.9,VALID,20.09,VALID,20.1,VALID,20.0,VALID,411.682,VALID,417.48,VALID,406.494,VALID,73.0,VALID,70.0,VALID,54.0,VALID,1.981,VALID,4.602,VALID,0.297,VALID,0.0,VALID,12.394,
11/25/17,12:30:02 AM,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,0.009,VALID,0.042,VALID,0.0,VALID,9.553,VALID,9.567,VALID,9.543,VALID,19.201,VALID,19.218,VALID,19.199,VALID,10.664,VALID,10.701,VALID,10.632,VALID,21.2,VALID,21.2,VALID,21.2,VALID,19.91,VALID,20.0,VALID,19.9,VALID,20.06,VALID,20.1,VALID,20.0,VALID,395.813,VALID,404.663,VALID,386.963,VALID,78.0,VALID,67.0,VALID,68.0,VALID,2.039,VALID,3.602,VALID,0.398,VALID,0.0,VALID,12.399,
11/25/17,12:40:02 AM,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,0.0,VALID,0.0,VALID,0.0,VALID,9.551,VALID,9.567,VALID,9.543,VALID,19.199,VALID,19.218,VALID,19.179,VALID,10.662,VALID,10.701,VALID,10.609,VALID,21.2,VALID,21.2,VALID,21.2,VALID,19.9,VALID,19.9,VALID,19.9,VALID,20.07,VALID,20.1,VALID,20.0,VALID,371.399,VALID,384.521,VALID,358.887,VALID,82.0,VALID,90.0,VALID,48.0,VALID,3.05,VALID,6.5,VALID,1.0,VALID,0.0,VALID,12.397,
11/25/17,12:50:02 AM,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,0.014,VALID,0.04,VALID,0.0,VALID,9.55,VALID,9.567,VALID,9.543,VALID,19.201,VALID,19.218,VALID,19.199,VALID,10.653,VALID,10.678,VALID,10.632,VALID,21.2,VALID,21.2,VALID,21.2,VALID,19.92,VALID,20.0,VALID,19.9,VALID,20.05,VALID,20.1,VALID,20.0,VALID,346.619,VALID,357.056,VALID,336.914,VALID,73.0,VALID,74.0,VALID,112.0,VALID,2.953,VALID,5.5,VALID,0.898,VALID,0.0,VALID,12.394,
11/25/17,1:00:02 AM,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,0.013,VALID,0.042,VALID,0.0,VALID,9.55,VALID,9.567,VALID,9.543,VALID,19.201,VALID,19.218,VALID,19.199,VALID,10.65,VALID,10.678,VALID,10.609,VALID,21.2,VALID,21.2,VALID,21.2,VALID,19.9,VALID,19.9,VALID,19.9,VALID,20.06,VALID,20.1,VALID,20.0,VALID,332.764,VALID,335.083,VALID,331.421,VALID,75.0,VALID,73.0,VALID,97.0,VALID,3.259,VALID,5.5,VALID,1.203,VALID,0.0,VALID,12.391,
11/25/17,1:10:02 AM,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,0.001,VALID,0.014,VALID,0.0,VALID,9.551,VALID,9.567,VALID,9.543,VALID,19.199,VALID,19.218,VALID,19.179,VALID,10.659,VALID,10.678,VALID,10.609,VALID,21.2,VALID,21.2,VALID,21.2,VALID,19.9,VALID,19.9,VALID,19.9,VALID,20.09,VALID,20.2,VALID,20.0,VALID,331.36,VALID,331.421,VALID,330.811,VALID,82.0,VALID,87.0,VALID,81.0,VALID,3.903,VALID,6.602,VALID,1.398,VALID,0.0,VALID,12.388,
11/25/17,1:20:02 AM,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,0.01,VALID,0.021,VALID,0.0,VALID,9.552,VALID,9.567,VALID,9.543,VALID,19.201,VALID,19.218,VALID,19.199,VALID,10.655,VALID,10.678,VALID,10.609,VALID,21.19,VALID,21.2,VALID,21.1,VALID,19.9,VALID,19.9,VALID,19.9,VALID,20.09,VALID,20.1,VALID,20.0,VALID,331.36,VALID,331.421,VALID,330.811,VALID,79.0,VALID,77.0,VALID,52.0,VALID,4.121,VALID,6.797,VALID,1.297,VALID,0.0,VALID,12.379,
