,,,PA_10min,,PA_10min,,PA_10min,,TA_10min,,TA_10min,,TA_10min,,UR_10min,,UR_10min,,UR_10min,,RG_10min,,RG_10min,,RG_10min,,US_20_10min,,US_20_10min,,US_20_10min,,US_60_10min,,US_60_10min,,US_60_10min,,US_40_10min,,US_40_10min,,US_40_10min,,TS_20_10min,,TS_20_10min,,TS_20_10min,,TS_60_10min,,TS_60_10min,,TS_60_10min,,TS_40_10min,,TS_40_10min,,TS_40_10min,,UF_10min,,UF_10min,,UF_10min,,VV_DV_10min,,VV_DV_10min,,VV_DV_10min,,VV_DV_10min,,VV_DV_10min,,VV_DV_10min,,SParServer,,Charger,
date,time,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,DirAvg10m,status,GustDir,status,LullDir,status,SpdAvg10m,status,SpdMax10m,status,SpdMin10m,status,PP_10min,status,External_DC,
7/22/17,12:00:02 AM,VALID,908.633,VALID,908.7,VALID,908.6,VALID,2.737,VALID,3.0,VALID,2.6,VALID,92.59,VALID,93.0,VALID,92.4,VALID,0.021,VALID,0.08,VALID,0.0,VALID,7.015,VALID,7.034,VALID,7.01,VALID,17.813,VALID,17.825,VALID,17.805,VALID,8.64,VALID,8.671,VALID,8.6,VALID,12.92,VALID,13.0,VALID,12.9,VALID,14.2,VALID,14.2,VALID,14.2,VALID,13.06,VALID,13.1,VALID,13.0,VALID,604.187,VALID,607.91,VALID,601.196,VALID,124.0,VALID,142.0,VALID,103.0,VALID,1.665,VALID,2.602,VALID,1.0,VALID,0.0,VALID,12.317,
7/22/17,12:10:02 AM,VALID,908.68,VALID,908.7,VALID,908.6,VALID,2.814,VALID,2.9,VALID,2.7,VALID,93.089,VALID,93.2,VALID,92.6,VALID,0.056,VALID,0.087,VALID,0.0,VALID,7.01,VALID,7.01,VALID,7.01,VALID,17.817,VALID,17.825,VALID,17.805,VALID,8.633,VALID,8.648,VALID,8.6,VALID,12.95,VALID,13.0,VALID,12.9,VALID,14.2,VALID,14.2,VALID,14.2,VALID,13.06,VALID,13.1,VALID,13.0,VALID,611.267,VALID,614.014,VALID,608.521,VALID,134.0,VALID,139.0,VALID,134.0,VALID,1.981,VALID,2.5,VALID,1.398,VALID,0.0,VALID,12.317,
7/22/17,12:20:02 AM,VALID,908.677,VALID,908.7,VALID,908.6,VALID,2.662,VALID,2.7,VALID,2.6,VALID,92.823,VALID,93.0,VALID,92.5,VALID,0.074,VALID,0.155,VALID,0.028,VALID,7.01,VALID,7.034,VALID,6.986,VALID,17.813,VALID,17.825,VALID,17.805,VALID,8.631,VALID,8.648,VALID,8.6,VALID,12.92,VALID,13.0,VALID,12.9,VALID,14.2,VALID,14.2,VALID,14.2,VALID,13.07,VALID,13.1,VALID,13.0,VALID,618.408,VALID,620.728,VALID,615.234,VALID,151.0,VALID,156.0,VALID,145.0,VALID,1.187,VALID,1.703,VALID,0.703,VALID,0.0,VALID,12.321,
7/22/17,12:30:02 AM,VALID,908.683,VALID,908.7,VALID,908.6,VALID,2.583,VALID,2.7,VALID,2.5,VALID,92.867,VALID,93.2,VALID,92.6,VALID,0.052,VALID,0.082,VALID,0.023,VALID,7.01,VALID,7.01,VALID,7.01,VALID,17.811,VALID,17.825,VALID,17.805,VALID,8.636,VALID,8.671,VALID,8.6,VALID,12.93,VALID,13.0,VALID,12.9,VALID,14.2,VALID,14.2,VALID,14.2,VALID,13.1,VALID,13.1,VALID,13.1,VALID,624.084,VALID,626.831,VALID,621.338,VALID,137.0,VALID,142.0,VALID,152.0,VALID,0.894,VALID,1.102,VALID,0.703,VALID,0.0,VALID,12.317,
7/22/17,12:40:02 AM,VALID,908.691,VALID,908.7,VALID,908.6,VALID,2.4,VALID,2.5,VALID,2.3,VALID,92.818,VALID,93.1,VALID,92.5,VALID,0.056,VALID,0.097,VALID,0.011,VALID,7.01,VALID,7.034,VALID,7.01,VALID,17.811,VALID,17.825,VALID,17.805,VALID,8.643,VALID,8.671,VALID,8.6,VALID,12.94,VALID,13.0,VALID,12.9,VALID,14.2,VALID,14.2,VALID,14.2,VALID,13.08,VALID,13.1,VALID,13.0,VALID,630.92,VALID,634.155,VALID,627.441,VALID,147.0,VALID,142.0,VALID,150.0,VALID,0.844,VALID,1.203,VALID,0.5,VALID,0.0,VALID,12.313,
7/22/17,12:50:02 AM,VALID,908.663,VALID,908.7,VALID,908.6,VALID,2.209,VALID,2.5,VALID,2.0,VALID,92.676,VALID,93.3,VALID,92.0,VALID,0.05,VALID,0.094,VALID,0.008,VALID,7.012,VALID,7.034,VALID,7.01,VALID,17.819,VALID,17.825,VALID,17.805,VALID,8.636,VALID,8.648,VALID,8.6,VALID,12.96,VALID,13.0,VALID,12.9,VALID,14.2,VALID,14.2,VALID,14.2,VALID,13.11,VALID,13.2,VALID,13.0,VALID,638.367,VALID,640.869,VALID,635.376,VALID,129.0,VALID,133.0,VALID,107.0,VALID,0.681,VALID,1.203,VALID,0.203,VALID,0.0,VALID,12.306,
7/22/17,1:00:02 AM,VALID,908.635,VALID,908.7,VALID,908.6,VALID,2.122,VALID,2.2,VALID,2.1,VALID,93.062,VALID,93.2,VALID,92.9,VALID,0.053,VALID,0.093,VALID,0.009,VALID,7.01,VALID,7.01,VALID,7.01,VALID,17.813,VALID,17.825,VALID,17.805,VALID,8.64,VALID,8.671,VALID,8.624,VALID,12.93,VALID,13.0,VALID,12.9,VALID,14.2,VALID,14.2,VALID,14.2,VALID,13.11,VALID,13.2,VALID,13.1,VALID,641.235,VALID,642.7,VALID,639.648,VALID,142.0,VALID,138.0,VALID,152.0,VALID,1.204,VALID,1.398,VALID,1.0,VALID,0.0,VALID,12.302,
7/22/17,1:10:02 AM,VALID,908.582,VALID,908.7,VALID,908.5,VALID,1.95,VALID,2.1,VALID,1.9,VALID,92.827,VALID,93.0,VALID,92.6,VALID,0.032,VALID,0.063,VALID,0.0,VALID,7.01,VALID,7.01,VALID,7.01,VALID,17.815,VALID,17.825,VALID,17.805,VALID,8.626,VALID,8.648,VALID,8.6,VALID,12.91,VALID,13.0,VALID,12.9,VALID,14.2,VALID,14.2,VALID,14.2,VALID,13.1,VALID,13.1,VALID,13.1,VALID,644.592,VALID,646.362,VALID,643.311,VALID,145.0,VALID,138.0,VALID,153.0,VALID,0.931,VALID,1.203,VALID,0.703,VALID,0.0,VALID,12.296,
7/22/17,1:20:02 AM,VALID,908.508,VALID,908.6,VALID,908.5,VALID,1.903,VALID,2.0,VALID,1.7,VALID,92.862,VALID,93.2,VALID,92.4,VALID,0.055,VALID,0.099,VALID,0.0,VALID,7.01,VALID,7.01,VALID,7.01,VALID,17.813,VALID,17.825,VALID,17.805,VALID,8.638,VALID,8.671,VALID,8.6,VALID,12.93,VALID,13.0,VALID,12.9,VALID,14.2,VALID,14.2,VALID,14.2,VALID,13.1,VALID,13.2,VALID,13.0,VALID,647.766,VALID,648.804,VALID,646.362,VALID,143.0,VALID,149.0,VALID,150.0,VALID,1.288,VALID,1.703,VALID,0.898,VALID,0.0,VALID,12.272,
