,,,PA_10min,,PA_10min,,PA_10min,,TA_10min,,TA_10min,,TA_10min,,UR_10min,,UR_10min,,UR_10min,,RG_10min,,RG_10min,,RG_10min,,US_20_10min,,US_20_10min,,US_20_10min,,US_60_10min,,US_60_10min,,US_60_10min,,US_40_10min,,US_40_10min,,US_40_10min,,TS_20_10min,,TS_20_10min,,TS_20_10min,,TS_60_10min,,TS_60_10min,,TS_60_10min,,TS_40_10min,,TS_40_10min,,TS_40_10min,,UF_10min,,UF_10min,,UF_10min,,VV_DV_10min,,VV_DV_10min,,VV_DV_10min,,VV_DV_10min,,VV_DV_10min,,VV_DV_10min,,SParServer,,Charger,
date,time,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,DirAvg10m,status,GustDir,status,LullDir,status,SpdAvg10m,status,SpdMax10m,status,SpdMin10m,status,PP_10min,status,External_DC,
8/5/17,12:00:02 AM,VALID,910.468,VALID,910.5,VALID,910.4,VALID,4.123,VALID,4.3,VALID,4.0,VALID,93.502,VALID,93.8,VALID,93.1,VALID,0.019,VALID,0.055,VALID,0.0,VALID,10.079,VALID,10.079,VALID,10.079,VALID,19.344,VALID,19.353,VALID,19.334,VALID,10.148,VALID,10.171,VALID,10.102,VALID,15.55,VALID,15.6,VALID,15.5,VALID,15.4,VALID,15.4,VALID,15.4,VALID,14.92,VALID,15.0,VALID,14.9,VALID,635.498,VALID,638.428,VALID,632.324,VALID,170.0,VALID,208.0,VALID,321.0,VALID,0.367,VALID,0.797,VALID,0.0,VALID,0.0,VALID,12.336,
8/5/17,12:10:02 AM,VALID,910.283,VALID,910.4,VALID,910.1,VALID,4.247,VALID,4.4,VALID,4.2,VALID,93.515,VALID,94.2,VALID,93.2,VALID,0.011,VALID,0.046,VALID,0.0,VALID,10.079,VALID,10.079,VALID,10.079,VALID,19.347,VALID,19.353,VALID,19.334,VALID,10.132,VALID,10.171,VALID,10.102,VALID,15.51,VALID,15.6,VALID,15.5,VALID,15.4,VALID,15.4,VALID,15.4,VALID,14.91,VALID,15.0,VALID,14.9,VALID,643.921,VALID,647.583,VALID,639.648,VALID,170.0,VALID,212.0,VALID,281.0,VALID,0.402,VALID,1.0,VALID,0.0,VALID,0.0,VALID,12.338,
8/5/17,12:20:02 AM,VALID,910.025,VALID,910.1,VALID,909.9,VALID,4.853,VALID,5.2,VALID,4.4,VALID,94.722,VALID,95.2,VALID,94.1,VALID,0.002,VALID,0.011,VALID,0.0,VALID,10.079,VALID,10.079,VALID,10.079,VALID,19.343,VALID,19.353,VALID,19.334,VALID,10.141,VALID,10.148,VALID,10.102,VALID,15.52,VALID,15.6,VALID,15.5,VALID,15.4,VALID,15.4,VALID,15.4,VALID,14.9,VALID,14.9,VALID,14.9,VALID,648.743,VALID,649.414,VALID,648.193,VALID,160.0,VALID,109.0,VALID,201.0,VALID,0.637,VALID,1.5,VALID,0.102,VALID,0.0,VALID,12.335,
8/5/17,12:30:02 AM,VALID,909.897,VALID,910.0,VALID,909.8,VALID,5.23,VALID,5.3,VALID,5.2,VALID,95.127,VALID,95.6,VALID,94.8,VALID,0.009,VALID,0.031,VALID,0.0,VALID,10.079,VALID,10.079,VALID,10.079,VALID,19.337,VALID,19.353,VALID,19.315,VALID,10.148,VALID,10.171,VALID,10.125,VALID,15.5,VALID,15.5,VALID,15.5,VALID,15.4,VALID,15.4,VALID,15.4,VALID,14.91,VALID,15.0,VALID,14.9,VALID,647.827,VALID,651.855,VALID,637.817,VALID,264.0,VALID,63.0,VALID,328.0,VALID,0.331,VALID,0.797,VALID,0.0,VALID,0.0,VALID,12.33,
8/5/17,12:40:02 AM,VALID,907.928,VALID,909.8,VALID,907.0,VALID,5.857,VALID,6.3,VALID,5.3,VALID,95.238,VALID,100.0,VALID,76.7,VALID,0.005,VALID,0.02,VALID,0.0,VALID,10.079,VALID,10.079,VALID,10.079,VALID,19.322,VALID,19.334,VALID,19.315,VALID,10.139,VALID,10.171,VALID,10.102,VALID,15.5,VALID,15.5,VALID,15.5,VALID,15.4,VALID,15.4,VALID,15.4,VALID,14.91,VALID,15.0,VALID,14.9,VALID,625.732,VALID,636.597,VALID,612.183,VALID,70.0,VALID,294.0,VALID,344.0,VALID,0.354,VALID,1.898,VALID,0.0,VALID,0.0,VALID,12.326,
8/5/17,12:50:02 AM,VALID,907.555,VALID,909.0,VALID,907.0,VALID,6.503,VALID,6.7,VALID,6.3,VALID,88.414,VALID,100.0,VALID,81.9,VALID,0.013,VALID,0.047,VALID,0.0,VALID,10.079,VALID,10.079,VALID,10.079,VALID,19.326,VALID,19.334,VALID,19.315,VALID,10.139,VALID,10.171,VALID,10.102,VALID,15.5,VALID,15.5,VALID,15.5,VALID,15.4,VALID,15.4,VALID,15.4,VALID,14.91,VALID,15.0,VALID,14.9,VALID,606.14,VALID,611.572,VALID,601.807,VALID,270.0,VALID,188.0,VALID,226.0,VALID,0.447,VALID,1.102,VALID,0.0,VALID,0.0,VALID,12.321,
8/5/17,1:00:02 AM,VALID,908.44,VALID,909.6,VALID,907.8,VALID,6.22,VALID,6.4,VALID,6.0,VALID,95.922,VALID,100.0,VALID,77.6,VALID,0.025,VALID,0.064,VALID,0.0,VALID,10.079,VALID,10.079,VALID,10.079,VALID,19.313,VALID,19.334,VALID,19.295,VALID,10.141,VALID,10.148,VALID,10.125,VALID,15.5,VALID,15.5,VALID,15.5,VALID,15.4,VALID,15.4,VALID,15.4,VALID,14.93,VALID,15.0,VALID,14.9,VALID,590.088,VALID,603.638,VALID,568.848,VALID,226.0,VALID,5.0,VALID,170.0,VALID,0.424,VALID,1.102,VALID,0.0,VALID,0.0,VALID,12.313,
8/5/17,1:10:02 AM,VALID,909.0,VALID,909.4,VALID,908.7,VALID,6.275,VALID,6.4,VALID,6.1,VALID,99.988,VALID,100.0,VALID,99.3,VALID,0.036,VALID,0.073,VALID,0.0,VALID,10.079,VALID,10.079,VALID,10.079,VALID,19.31,VALID,19.315,VALID,19.295,VALID,10.127,VALID,10.171,VALID,10.102,VALID,15.5,VALID,15.5,VALID,15.5,VALID,15.4,VALID,15.4,VALID,15.4,VALID,14.9,VALID,14.9,VALID,14.9,VALID,563.599,VALID,577.393,VALID,537.72,VALID,293.0,VALID,275.0,VALID,229.0,VALID,0.751,VALID,1.703,VALID,0.102,VALID,0.0,VALID,12.294,
8/5/17,1:20:02 AM,VALID,909.148,VALID,909.6,VALID,908.9,VALID,6.285,VALID,6.5,VALID,6.1,VALID,99.83,VALID,100.0,VALID,95.8,VALID,0.014,VALID,0.041,VALID,0.0,VALID,10.079,VALID,10.079,VALID,10.079,VALID,19.293,VALID,19.315,VALID,19.276,VALID,10.12,VALID,10.148,VALID,10.079,VALID,15.5,VALID,15.5,VALID,15.5,VALID,15.4,VALID,15.4,VALID,15.4,VALID,14.91,VALID,15.0,VALID,14.9,VALID,510.986,VALID,521.851,VALID,508.423,VALID,283.0,VALID,228.0,VALID,275.0,VALID,0.619,VALID,1.297,VALID,0.102,VALID,0.0,VALID,12.305,
8/5/17,1:30:02 AM,VALID,909.198,VALID,909.6,VALID,908.7,VALID,6.615,VALID,6.9,VALID,6.3,VALID,98.695,VALID,100.0,VALID,94.7,VALID,0.014,VALID,0.06,VALID,0.0,VALID,10.079,VALID,10.079,VALID,10.079,VALID,19.292,VALID,19.315,VALID,19.276,VALID,10.13,VALID,10.148,VALID,10.102,VALID,15.5,VALID,15.5,VALID,15.5,VALID,15.4,VALID,15.4,VALID,15.4,VALID,14.91,VALID,15.0,VALID,14.9,VALID,509.46,VALID,518.799,VALID,503.54,VALID,268.0,VALID,245.0,VALID,166.0,VALID,1.035,VALID,1.898,VALID,0.102,VALID,0.0,VALID,12.305,
8/5/17,1:40:02 AM,VALID,909.443,VALID,909.5,VALID,909.3,VALID,6.162,VALID,6.4,VALID,6.1,VALID,95.722,VALID,98.1,VALID,94.3,VALID,0.021,VALID,0.059,VALID,0.0,VALID,10.079,VALID,10.079,VALID,10.079,VALID,19.285,VALID,19.295,VALID,19.276,VALID,10.136,VALID,10.171,VALID,10.125,VALID,15.5,VALID,15.5,VALID,15.5,VALID,15.4,VALID,15.4,VALID,15.4,VALID,14.93,VALID,15.0,VALID,14.9,VALID,496.033,VALID,512.085,VALID,480.957,VALID,273.0,VALID,278.0,VALID,98.0,VALID,0.879,VALID,1.898,VALID,0.102,VALID,0.0,VALID,12.3,
