,,,PA_10min,,PA_10min,,PA_10min,,TA_10min,,TA_10min,,TA_10min,,UR_10min,,UR_10min,,UR_10min,,RG_10min,,RG_10min,,RG_10min,,US_20_10min,,US_20_10min,,US_20_10min,,US_60_10min,,US_60_10min,,US_60_10min,,US_40_10min,,US_40_10min,,US_40_10min,,TS_20_10min,,TS_20_10min,,TS_20_10min,,TS_60_10min,,TS_60_10min,,TS_60_10min,,TS_40_10min,,TS_40_10min,,TS_40_10min,,UF_10min,,UF_10min,,UF_10min,,VV_DV_10min,,VV_DV_10min,,VV_DV_10min,,VV_DV_10min,,VV_DV_10min,,VV_DV_10min,,SParServer,,Charger,
date,time,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,DirAvg10m,status,GustDir,status,LullDir,status,SpdAvg10m,status,SpdMax10m,status,SpdMin10m,status,PP_10min,status,External_DC,
6/16/17,12:00:02 AM,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,0.049,VALID,0.093,VALID,0.0,VALID,14.119,VALID,14.141,VALID,14.098,VALID,19.912,VALID,19.927,VALID,19.889,VALID,10.377,VALID,10.402,VALID,10.356,VALID,15.2,VALID,15.2,VALID,15.2,VALID,15.6,VALID,15.6,VALID,15.6,VALID,14.87,VALID,14.9,VALID,14.8,VALID,573.059,VALID,582.886,VALID,558.472,VALID,308.0,VALID,317.0,VALID,315.0,VALID,1.304,VALID,2.297,VALID,0.703,VALID,0.0,VALID,12.368,
6/16/17,12:10:02 AM,VALID,909.15,VALID,909.2,VALID,909.1,VALID,11.5,VALID,11.5,VALID,11.5,VALID,92.75,VALID,92.8,VALID,92.7,VALID,0.077,VALID,0.111,VALID,0.055,VALID,14.113,VALID,14.141,VALID,14.098,VALID,19.897,VALID,19.908,VALID,19.87,VALID,10.384,VALID,10.402,VALID,10.356,VALID,15.2,VALID,15.2,VALID,15.2,VALID,15.6,VALID,15.6,VALID,15.6,VALID,14.89,VALID,14.9,VALID,14.8,VALID,546.57,VALID,560.913,VALID,525.513,VALID,286.0,VALID,294.0,VALID,319.0,VALID,1.112,VALID,1.602,VALID,0.5,VALID,0.0,VALID,12.366,
6/16/17,12:20:02 AM,VALID,909.212,VALID,909.3,VALID,909.1,VALID,11.494,VALID,11.6,VALID,11.4,VALID,92.482,VALID,92.6,VALID,92.3,VALID,0.045,VALID,0.079,VALID,0.013,VALID,14.107,VALID,14.141,VALID,14.098,VALID,19.91,VALID,19.927,VALID,19.889,VALID,10.388,VALID,10.402,VALID,10.379,VALID,15.2,VALID,15.2,VALID,15.2,VALID,15.61,VALID,15.7,VALID,15.6,VALID,14.9,VALID,14.9,VALID,14.9,VALID,517.029,VALID,524.902,VALID,510.864,VALID,287.0,VALID,278.0,VALID,326.0,VALID,1.384,VALID,2.0,VALID,0.797,VALID,0.0,VALID,12.364,
6/16/17,12:30:02 AM,VALID,909.195,VALID,909.3,VALID,909.1,VALID,11.5,VALID,11.5,VALID,11.5,VALID,92.37,VALID,92.5,VALID,92.1,VALID,0.054,VALID,0.093,VALID,0.023,VALID,14.108,VALID,14.141,VALID,14.098,VALID,19.912,VALID,19.927,VALID,19.908,VALID,10.377,VALID,10.402,VALID,10.333,VALID,15.2,VALID,15.2,VALID,15.2,VALID,15.6,VALID,15.6,VALID,15.6,VALID,14.89,VALID,14.9,VALID,14.8,VALID,516.724,VALID,520.02,VALID,512.085,VALID,304.0,VALID,296.0,VALID,286.0,VALID,0.949,VALID,1.5,VALID,0.5,VALID,0.0,VALID,12.346,
6/16/17,12:40:02 AM,VALID,909.113,VALID,909.2,VALID,909.0,VALID,11.607,VALID,11.7,VALID,11.5,VALID,92.607,VALID,92.7,VALID,92.4,VALID,0.045,VALID,0.077,VALID,0.016,VALID,14.11,VALID,14.141,VALID,14.076,VALID,19.91,VALID,19.927,VALID,19.889,VALID,10.386,VALID,10.402,VALID,10.356,VALID,15.2,VALID,15.2,VALID,15.2,VALID,15.6,VALID,15.6,VALID,15.6,VALID,14.9,VALID,14.9,VALID,14.9,VALID,511.414,VALID,529.175,VALID,502.319,VALID,314.0,VALID,44.0,VALID,71.0,VALID,1.074,VALID,2.0,VALID,0.203,VALID,0.0,VALID,12.349,
6/16/17,12:50:02 AM,VALID,909.1,VALID,909.1,VALID,909.1,VALID,11.6,VALID,11.6,VALID,11.6,VALID,92.2,VALID,92.3,VALID,92.1,VALID,0.05,VALID,0.073,VALID,0.023,VALID,14.076,VALID,14.076,VALID,14.076,VALID,19.903,VALID,19.908,VALID,19.889,VALID,10.379,VALID,10.402,VALID,10.356,VALID,15.2,VALID,15.2,VALID,15.2,VALID,15.6,VALID,15.6,VALID,15.6,VALID,14.89,VALID,14.9,VALID,14.8,VALID,488.281,VALID,502.319,VALID,484.619,VALID,305.0,VALID,324.0,VALID,296.0,VALID,1.243,VALID,1.797,VALID,0.5,VALID,0.0,VALID,12.355,
6/16/17,1:00:02 AM,VALID,909.008,VALID,909.1,VALID,909.0,VALID,11.65,VALID,11.7,VALID,11.6,VALID,92.167,VALID,92.4,VALID,92.0,VALID,0.054,VALID,0.089,VALID,0.031,VALID,14.089,VALID,14.098,VALID,14.076,VALID,19.91,VALID,19.927,VALID,19.908,VALID,10.384,VALID,10.402,VALID,10.356,VALID,15.2,VALID,15.2,VALID,15.2,VALID,15.6,VALID,15.6,VALID,15.6,VALID,14.91,VALID,15.0,VALID,14.8,VALID,484.131,VALID,488.281,VALID,476.074,VALID,312.0,VALID,349.0,VALID,53.0,VALID,0.719,VALID,1.297,VALID,0.203,VALID,0.0,VALID,12.353,
6/16/17,1:10:02 AM,VALID,908.936,VALID,909.0,VALID,908.9,VALID,11.818,VALID,12.0,VALID,11.6,VALID,92.491,VALID,92.6,VALID,92.2,VALID,0.056,VALID,0.088,VALID,0.028,VALID,14.085,VALID,14.098,VALID,14.076,VALID,19.901,VALID,19.927,VALID,19.889,VALID,10.37,VALID,10.402,VALID,10.356,VALID,15.2,VALID,15.2,VALID,15.2,VALID,15.6,VALID,15.6,VALID,15.6,VALID,14.89,VALID,14.9,VALID,14.8,VALID,474.304,VALID,477.905,VALID,470.581,VALID,13.0,VALID,3.0,VALID,253.0,VALID,1.466,VALID,3.203,VALID,0.102,VALID,0.0,VALID,12.352,
6/16/17,1:20:02 AM,VALID,908.885,VALID,908.9,VALID,908.8,VALID,12.079,VALID,12.1,VALID,12.0,VALID,91.742,VALID,92.4,VALID,91.3,VALID,0.035,VALID,0.084,VALID,0.0,VALID,14.083,VALID,14.098,VALID,14.076,VALID,19.908,VALID,19.927,VALID,19.889,VALID,10.377,VALID,10.402,VALID,10.333,VALID,15.2,VALID,15.2,VALID,15.2,VALID,15.6,VALID,15.6,VALID,15.6,VALID,14.91,VALID,15.0,VALID,14.9,VALID,468.872,VALID,469.971,VALID,467.529,VALID,358.0,VALID,356.0,VALID,267.0,VALID,1.207,VALID,3.203,VALID,0.102,VALID,0.0,VALID,12.349,
