,,,PA_10min,,PA_10min,,PA_10min,,TA_10min,,TA_10min,,TA_10min,,UR_10min,,UR_10min,,UR_10min,,RG_10min,,RG_10min,,RG_10min,,US_20_10min,,US_20_10min,,US_20_10min,,US_60_10min,,US_60_10min,,US_60_10min,,US_40_10min,,US_40_10min,,US_40_10min,,TS_20_10min,,TS_20_10min,,TS_20_10min,,TS_60_10min,,TS_60_10min,,TS_60_10min,,TS_40_10min,,TS_40_10min,,TS_40_10min,,UF_10min,,UF_10min,,UF_10min,,VV_DV_10min,,VV_DV_10min,,VV_DV_10min,,VV_DV_10min,,VV_DV_10min,,VV_DV_10min,,SParServer,,Charger,
date,time,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,DirAvg10m,status,GustDir,status,LullDir,status,SpdAvg10m,status,SpdMax10m,status,SpdMin10m,status,PP_10min,status,External_DC,
3/18/17,12:00:02 AM,VALID,904.9,VALID,904.9,VALID,904.9,VALID,13.529,VALID,13.6,VALID,13.4,VALID,86.471,VALID,86.9,VALID,86.1,VALID,0.021,VALID,0.051,VALID,0.0,VALID,11.805,VALID,11.835,VALID,11.79,VALID,16.53,VALID,16.553,VALID,16.512,VALID,9.405,VALID,9.426,VALID,9.356,VALID,22.8,VALID,22.8,VALID,22.8,VALID,22.79,VALID,22.8,VALID,22.7,VALID,22.51,VALID,22.6,VALID,22.5,VALID,466.492,VALID,468.75,VALID,464.478,VALID,132.0,VALID,137.0,VALID,151.0,VALID,2.061,VALID,3.102,VALID,1.102,VALID,0.0,VALID,12.376,
3/18/17,12:10:02 AM,VALID,904.9,VALID,904.9,VALID,904.9,VALID,13.4,VALID,13.4,VALID,13.4,VALID,87.0,VALID,87.0,VALID,87.0,VALID,0.033,VALID,0.074,VALID,0.0,VALID,11.794,VALID,11.812,VALID,11.767,VALID,16.522,VALID,16.532,VALID,16.512,VALID,9.405,VALID,9.426,VALID,9.379,VALID,22.8,VALID,22.8,VALID,22.8,VALID,22.8,VALID,22.8,VALID,22.8,VALID,22.5,VALID,22.5,VALID,22.5,VALID,470.459,VALID,471.802,VALID,468.75,VALID,111.0,VALID,126.0,VALID,146.0,VALID,1.508,VALID,2.5,VALID,0.703,VALID,0.0,VALID,12.371,
3/18/17,12:20:02 AM,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,0.021,VALID,0.045,VALID,0.0,VALID,11.796,VALID,11.812,VALID,11.767,VALID,16.526,VALID,16.553,VALID,16.491,VALID,9.4,VALID,9.426,VALID,9.379,VALID,22.8,VALID,22.8,VALID,22.8,VALID,22.8,VALID,22.8,VALID,22.8,VALID,22.51,VALID,22.6,VALID,22.5,VALID,463.806,VALID,467.529,VALID,460.815,VALID,131.0,VALID,123.0,VALID,125.0,VALID,2.01,VALID,3.102,VALID,1.203,VALID,0.0,VALID,12.367,
3/18/17,12:30:02 AM,VALID,904.923,VALID,905.0,VALID,904.9,VALID,13.446,VALID,13.5,VALID,13.4,VALID,86.777,VALID,87.1,VALID,86.6,VALID,0.009,VALID,0.029,VALID,0.0,VALID,11.787,VALID,11.812,VALID,11.767,VALID,16.532,VALID,16.553,VALID,16.512,VALID,9.407,VALID,9.426,VALID,9.379,VALID,22.8,VALID,22.8,VALID,22.8,VALID,22.8,VALID,22.8,VALID,22.8,VALID,22.49,VALID,22.5,VALID,22.4,VALID,460.693,VALID,460.815,VALID,460.205,VALID,140.0,VALID,150.0,VALID,124.0,VALID,2.288,VALID,3.5,VALID,1.297,VALID,0.0,VALID,12.362,
3/18/17,12:40:02 AM,VALID,904.985,VALID,905.0,VALID,904.9,VALID,13.4,VALID,13.4,VALID,13.4,VALID,87.08,VALID,87.2,VALID,86.9,VALID,0.005,VALID,0.027,VALID,0.0,VALID,11.781,VALID,11.812,VALID,11.767,VALID,16.528,VALID,16.553,VALID,16.512,VALID,9.403,VALID,9.426,VALID,9.379,VALID,22.8,VALID,22.8,VALID,22.8,VALID,22.8,VALID,22.8,VALID,22.8,VALID,22.5,VALID,22.5,VALID,22.5,VALID,457.52,VALID,458.984,VALID,455.933,VALID,135.0,VALID,132.0,VALID,117.0,VALID,1.665,VALID,2.297,VALID,1.203,VALID,0.0,VALID,12.349,
3/18/17,12:50:02 AM,VALID,904.97,VALID,905.0,VALID,904.9,VALID,13.32,VALID,13.4,VALID,13.3,VALID,87.8,VALID,88.4,VALID,87.4,VALID,0.027,VALID,0.053,VALID,0.0,VALID,11.776,VALID,11.79,VALID,11.767,VALID,16.532,VALID,16.553,VALID,16.512,VALID,9.393,VALID,9.426,VALID,9.379,VALID,22.8,VALID,22.8,VALID,22.8,VALID,22.8,VALID,22.8,VALID,22.8,VALID,22.5,VALID,22.5,VALID,22.5,VALID,452.148,VALID,455.322,VALID,449.219,VALID,133.0,VALID,127.0,VALID,131.0,VALID,1.432,VALID,2.0,VALID,0.898,VALID,0.0,VALID,12.337,
3/18/17,1:00:02 AM,VALID,905.0,VALID,905.0,VALID,905.0,VALID,13.4,VALID,13.5,VALID,13.3,VALID,87.3,VALID,87.7,VALID,86.9,VALID,0.01,VALID,0.043,VALID,0.0,VALID,11.778,VALID,11.79,VALID,11.767,VALID,16.522,VALID,16.553,VALID,16.491,VALID,9.393,VALID,9.426,VALID,9.356,VALID,22.8,VALID,22.8,VALID,22.8,VALID,22.8,VALID,22.8,VALID,22.8,VALID,22.51,VALID,22.6,VALID,22.5,VALID,444.031,VALID,447.998,VALID,439.453,VALID,145.0,VALID,132.0,VALID,151.0,VALID,2.174,VALID,2.797,VALID,1.5,VALID,0.0,VALID,12.346,
3/18/17,1:10:02 AM,VALID,904.9,VALID,904.9,VALID,904.9,VALID,13.6,VALID,13.6,VALID,13.6,VALID,87.182,VALID,87.5,VALID,86.8,VALID,0.002,VALID,0.009,VALID,0.0,VALID,11.772,VALID,11.79,VALID,11.745,VALID,16.524,VALID,16.553,VALID,16.491,VALID,9.398,VALID,9.426,VALID,9.379,VALID,22.78,VALID,22.8,VALID,22.7,VALID,22.8,VALID,22.8,VALID,22.8,VALID,22.51,VALID,22.6,VALID,22.5,VALID,433.899,VALID,438.232,VALID,430.298,VALID,141.0,VALID,147.0,VALID,145.0,VALID,1.87,VALID,2.602,VALID,1.203,VALID,0.0,VALID,12.346,
3/18/17,1:20:02 AM,VALID,904.85,VALID,904.9,VALID,904.8,VALID,13.675,VALID,13.7,VALID,13.6,VALID,87.333,VALID,87.6,VALID,87.1,VALID,0.0,VALID,0.0,VALID,0.0,VALID,11.765,VALID,11.79,VALID,11.745,VALID,16.532,VALID,16.532,VALID,16.491,VALID,9.398,VALID,9.403,VALID,9.379,VALID,22.7,VALID,22.7,VALID,22.7,VALID,22.79,VALID,22.8,VALID,22.7,VALID,22.5,VALID,22.5,VALID,22.5,VALID,424.744,VALID,429.688,VALID,420.532,VALID,122.0,VALID,108.0,VALID,104.0,VALID,1.604,VALID,2.102,VALID,1.102,VALID,0.0,VALID,12.342,
