,,,PA_10min,,PA_10min,,PA_10min,,TA_10min,,TA_10min,,TA_10min,,UR_10min,,UR_10min,,UR_10min,,RG_10min,,RG_10min,,RG_10min,,US_20_10min,,US_20_10min,,US_20_10min,,US_60_10min,,US_60_10min,,US_60_10min,,US_40_10min,,US_40_10min,,US_40_10min,,TS_20_10min,,TS_20_10min,,TS_20_10min,,TS_60_10min,,TS_60_10min,,TS_60_10min,,TS_40_10min,,TS_40_10min,,TS_40_10min,,UF_10min,,UF_10min,,UF_10min,,VV_DV_10min,,VV_DV_10min,,VV_DV_10min,,VV_DV_10min,,VV_DV_10min,,VV_DV_10min,,SParServer,,Charger,
date,time,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,DirAvg10m,status,GustDir,status,LullDir,status,SpdAvg10m,status,SpdMax10m,status,SpdMin10m,status,PP_10min,status,External_DC,
9/22/17,12:00:02 AM,VALID,861.833,VALID,902.4,VALID,769.9,VALID,15.948,VALID,30.6,VALID,14.2,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,0.021,VALID,0.055,VALID,0.0,VALID,2.455,VALID,2.48,VALID,2.454,VALID,14.926,VALID,14.93,VALID,14.909,VALID,5.445,VALID,5.477,VALID,5.427,VALID,20.4,VALID,20.4,VALID,20.4,VALID,18.52,VALID,18.6,VALID,18.5,VALID,18.81,VALID,18.9,VALID,18.8,VALID,441.467,VALID,444.336,VALID,438.232,VALID,286.0,VALID,272.0,VALID,250.0,VALID,1.117,VALID,2.797,VALID,0.0,VALID,0.0,VALID,12.395,
9/22/17,12:10:02 AM,VALID,902.302,VALID,902.4,VALID,902.2,VALID,14.722,VALID,15.0,VALID,14.5,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,0.021,VALID,0.04,VALID,0.0,VALID,2.462,VALID,2.48,VALID,2.454,VALID,14.923,VALID,14.93,VALID,14.909,VALID,5.44,VALID,5.477,VALID,5.402,VALID,20.4,VALID,20.4,VALID,20.4,VALID,18.55,VALID,18.6,VALID,18.5,VALID,18.81,VALID,18.9,VALID,18.8,VALID,449.524,VALID,454.102,VALID,445.557,VALID,289.0,VALID,285.0,VALID,222.0,VALID,0.33,VALID,0.797,VALID,0.0,VALID,0.0,VALID,12.392,
9/22/17,12:20:02 AM,VALID,902.227,VALID,902.3,VALID,902.2,VALID,14.288,VALID,14.5,VALID,14.1,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,0.009,VALID,0.038,VALID,0.0,VALID,2.465,VALID,2.48,VALID,2.454,VALID,14.928,VALID,14.951,VALID,14.909,VALID,5.447,VALID,5.477,VALID,5.402,VALID,20.38,VALID,20.4,VALID,20.3,VALID,18.53,VALID,18.6,VALID,18.5,VALID,18.81,VALID,18.9,VALID,18.8,VALID,458.74,VALID,462.646,VALID,454.712,VALID,17.0,VALID,51.0,VALID,267.0,VALID,0.486,VALID,1.0,VALID,0.0,VALID,0.0,VALID,12.387,
9/22/17,12:30:02 AM,VALID,902.12,VALID,902.2,VALID,902.1,VALID,13.962,VALID,14.1,VALID,13.8,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,0.007,VALID,0.031,VALID,0.0,VALID,2.467,VALID,2.48,VALID,2.454,VALID,14.927,VALID,14.951,VALID,14.909,VALID,5.447,VALID,5.477,VALID,5.402,VALID,20.31,VALID,20.4,VALID,20.3,VALID,18.55,VALID,18.6,VALID,18.5,VALID,18.81,VALID,18.9,VALID,18.8,VALID,468.689,VALID,474.243,VALID,463.867,VALID,127.0,VALID,55.0,VALID,280.0,VALID,0.283,VALID,0.703,VALID,0.0,VALID,0.0,VALID,12.378,
9/22/17,12:40:02 AM,VALID,902.098,VALID,902.2,VALID,902.0,VALID,13.672,VALID,13.8,VALID,13.6,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,0.005,VALID,0.028,VALID,0.0,VALID,2.463,VALID,2.48,VALID,2.454,VALID,14.925,VALID,14.951,VALID,14.909,VALID,5.442,VALID,5.477,VALID,5.402,VALID,20.3,VALID,20.3,VALID,20.3,VALID,18.54,VALID,18.6,VALID,18.5,VALID,18.83,VALID,18.9,VALID,18.8,VALID,480.774,VALID,485.84,VALID,475.464,VALID,83.0,VALID,116.0,VALID,204.0,VALID,0.217,VALID,0.5,VALID,0.0,VALID,0.0,VALID,12.36,
9/22/17,12:50:02 AM,VALID,902.122,VALID,902.2,VALID,902.1,VALID,13.467,VALID,13.6,VALID,13.4,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,0.007,VALID,0.027,VALID,0.0,VALID,2.473,VALID,2.48,VALID,2.454,VALID,14.916,VALID,14.93,VALID,14.887,VALID,5.445,VALID,5.477,VALID,5.402,VALID,20.3,VALID,20.3,VALID,20.3,VALID,18.55,VALID,18.6,VALID,18.5,VALID,18.83,VALID,18.9,VALID,18.8,VALID,491.821,VALID,496.826,VALID,487.061,VALID,100.0,VALID,109.0,VALID,226.0,VALID,0.378,VALID,0.898,VALID,0.0,VALID,0.0,VALID,12.37,
9/22/17,1:00:02 AM,VALID,902.1,VALID,902.2,VALID,902.0,VALID,13.35,VALID,13.4,VALID,13.3,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,0.021,VALID,0.061,VALID,0.0,VALID,2.467,VALID,2.48,VALID,2.454,VALID,14.913,VALID,14.93,VALID,14.887,VALID,5.45,VALID,5.477,VALID,5.427,VALID,20.3,VALID,20.3,VALID,20.3,VALID,18.56,VALID,18.6,VALID,18.5,VALID,18.81,VALID,18.9,VALID,18.8,VALID,504.272,VALID,511.475,VALID,498.047,VALID,109.0,VALID,115.0,VALID,181.0,VALID,0.272,VALID,0.703,VALID,0.0,VALID,0.0,VALID,12.371,
9/22/17,1:10:02 AM,VALID,902.121,VALID,902.2,VALID,902.1,VALID,13.333,VALID,13.4,VALID,13.3,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,0.007,VALID,0.031,VALID,0.0,VALID,2.47,VALID,2.48,VALID,2.454,VALID,14.911,VALID,14.93,VALID,14.909,VALID,5.452,VALID,5.477,VALID,5.402,VALID,20.3,VALID,20.3,VALID,20.3,VALID,18.57,VALID,18.6,VALID,18.5,VALID,18.82,VALID,18.9,VALID,18.8,VALID,517.639,VALID,523.071,VALID,512.085,VALID,105.0,VALID,77.0,VALID,183.0,VALID,0.48,VALID,0.898,VALID,0.102,VALID,0.0,VALID,12.366,
9/22/17,1:20:02 AM,VALID,902.179,VALID,902.3,VALID,902.1,VALID,13.335,VALID,13.4,VALID,13.3,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,0.022,VALID,0.06,VALID,0.0,VALID,2.47,VALID,2.48,VALID,2.454,VALID,14.919,VALID,14.93,VALID,14.909,VALID,5.44,VALID,5.477,VALID,5.402,VALID,20.3,VALID,20.3,VALID,20.3,VALID,18.6,VALID,18.6,VALID,18.6,VALID,18.83,VALID,18.9,VALID,18.8,VALID,530.518,VALID,536.499,VALID,524.292,VALID,142.0,VALID,136.0,VALID,206.0,VALID,0.452,VALID,0.703,VALID,0.102,VALID,0.0,VALID,12.361,
