,,,PA_10min,,PA_10min,,PA_10min,,TA_10min,,TA_10min,,TA_10min,,UR_10min,,UR_10min,,UR_10min,,RG_10min,,RG_10min,,RG_10min,,US_20_10min,,US_20_10min,,US_20_10min,,US_60_10min,,US_60_10min,,US_60_10min,,US_40_10min,,US_40_10min,,US_40_10min,,TS_20_10min,,TS_20_10min,,TS_20_10min,,TS_60_10min,,TS_60_10min,,TS_60_10min,,TS_40_10min,,TS_40_10min,,TS_40_10min,,UF_10min,,UF_10min,,UF_10min,,VV_DV_10min,,VV_DV_10min,,VV_DV_10min,,VV_DV_10min,,VV_DV_10min,,VV_DV_10min,,SParServer,,Charger,
date,time,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,DirAvg10m,status,GustDir,status,LullDir,status,SpdAvg10m,status,SpdMax10m,status,SpdMin10m,status,PP_10min,status,External_DC,
2/12/17,12:00:02 AM,VALID,900.123,VALID,900.2,VALID,900.1,VALID,18.538,VALID,18.6,VALID,18.5,VALID,90.865,VALID,91.0,VALID,90.6,VALID,0.013,VALID,0.033,VALID,0.0,VALID,11.022,VALID,11.043,VALID,10.998,VALID,13.688,VALID,13.709,VALID,13.666,VALID,5.961,VALID,5.976,VALID,5.926,VALID,24.2,VALID,24.2,VALID,24.2,VALID,23.48,VALID,23.5,VALID,23.4,VALID,23.4,VALID,23.4,VALID,23.4,VALID,392.761,VALID,394.287,VALID,391.235,VALID,48.0,VALID,24.0,VALID,246.0,VALID,1.379,VALID,2.898,VALID,0.203,VALID,0.0,VALID,12.382,
2/12/17,12:10:02 AM,VALID,900.12,VALID,900.2,VALID,900.0,VALID,18.538,VALID,18.6,VALID,18.5,VALID,90.777,VALID,90.9,VALID,90.6,VALID,0.013,VALID,0.035,VALID,0.0,VALID,11.002,VALID,11.021,VALID,10.998,VALID,13.698,VALID,13.731,VALID,13.666,VALID,5.976,VALID,6.001,VALID,5.951,VALID,24.2,VALID,24.2,VALID,24.2,VALID,23.5,VALID,23.5,VALID,23.5,VALID,23.36,VALID,23.4,VALID,23.3,VALID,390.259,VALID,391.235,VALID,388.794,VALID,355.0,VALID,39.0,VALID,193.0,VALID,0.912,VALID,3.102,VALID,0.102,VALID,0.0,VALID,12.365,
2/12/17,12:20:02 AM,VALID,899.977,VALID,900.1,VALID,899.9,VALID,18.5,VALID,18.5,VALID,18.5,VALID,90.425,VALID,90.6,VALID,90.0,VALID,0.003,VALID,0.012,VALID,0.0,VALID,10.981,VALID,10.998,VALID,10.975,VALID,13.699,VALID,13.731,VALID,13.666,VALID,5.969,VALID,5.976,VALID,5.951,VALID,24.2,VALID,24.2,VALID,24.2,VALID,23.5,VALID,23.5,VALID,23.5,VALID,23.38,VALID,23.4,VALID,23.3,VALID,387.512,VALID,388.794,VALID,385.742,VALID,62.0,VALID,36.0,VALID,215.0,VALID,1.427,VALID,4.5,VALID,0.102,VALID,0.0,VALID,12.359,
2/12/17,12:30:02 AM,VALID,899.94,VALID,900.0,VALID,899.9,VALID,18.5,VALID,18.5,VALID,18.5,VALID,90.343,VALID,90.7,VALID,90.0,VALID,0.022,VALID,0.047,VALID,0.0,VALID,10.975,VALID,10.975,VALID,10.975,VALID,13.709,VALID,13.731,VALID,13.688,VALID,5.983,VALID,6.001,VALID,5.976,VALID,24.2,VALID,24.2,VALID,24.2,VALID,23.49,VALID,23.5,VALID,23.4,VALID,23.38,VALID,23.4,VALID,23.3,VALID,383.728,VALID,385.132,VALID,382.08,VALID,16.0,VALID,47.0,VALID,174.0,VALID,1.335,VALID,3.797,VALID,0.0,VALID,0.0,VALID,12.365,
2/12/17,12:40:02 AM,VALID,899.988,VALID,900.0,VALID,899.9,VALID,18.4,VALID,18.4,VALID,18.4,VALID,90.76,VALID,90.9,VALID,90.6,VALID,0.011,VALID,0.029,VALID,0.0,VALID,11.025,VALID,11.157,VALID,10.952,VALID,13.705,VALID,13.709,VALID,13.688,VALID,5.993,VALID,6.026,VALID,5.976,VALID,24.2,VALID,24.2,VALID,24.2,VALID,23.49,VALID,23.5,VALID,23.4,VALID,23.39,VALID,23.4,VALID,23.3,VALID,379.883,VALID,382.08,VALID,377.808,VALID,358.0,VALID,40.0,VALID,58.0,VALID,1.48,VALID,3.0,VALID,0.203,VALID,0.0,VALID,12.364,
2/12/17,12:50:02 AM,VALID,899.912,VALID,900.0,VALID,899.9,VALID,18.4,VALID,18.4,VALID,18.4,VALID,90.898,VALID,91.0,VALID,90.8,VALID,0.016,VALID,0.035,VALID,0.0,VALID,10.959,VALID,11.089,VALID,10.929,VALID,13.71,VALID,13.731,VALID,13.688,VALID,5.988,VALID,6.026,VALID,5.951,VALID,24.2,VALID,24.2,VALID,24.2,VALID,23.49,VALID,23.5,VALID,23.4,VALID,23.4,VALID,23.5,VALID,23.3,VALID,375.427,VALID,377.197,VALID,373.535,VALID,9.0,VALID,50.0,VALID,58.0,VALID,1.532,VALID,4.0,VALID,0.102,VALID,0.0,VALID,12.361,
2/12/17,1:00:02 AM,VALID,899.897,VALID,899.9,VALID,899.8,VALID,18.45,VALID,18.5,VALID,18.4,VALID,90.882,VALID,91.0,VALID,90.8,VALID,0.011,VALID,0.035,VALID,0.0,VALID,10.915,VALID,10.929,VALID,10.884,VALID,13.711,VALID,13.731,VALID,13.688,VALID,5.983,VALID,6.001,VALID,5.951,VALID,24.2,VALID,24.2,VALID,24.2,VALID,23.5,VALID,23.5,VALID,23.5,VALID,23.4,VALID,23.4,VALID,23.4,VALID,371.399,VALID,372.925,VALID,369.263,VALID,20.0,VALID,11.0,VALID,104.0,VALID,1.453,VALID,3.398,VALID,0.203,VALID,0.0,VALID,12.358,
2/12/17,1:10:02 AM,VALID,899.827,VALID,899.9,VALID,899.8,VALID,18.447,VALID,18.5,VALID,18.4,VALID,91.122,VALID,91.3,VALID,90.9,VALID,0.007,VALID,0.024,VALID,0.0,VALID,10.867,VALID,10.907,VALID,10.838,VALID,13.722,VALID,13.753,VALID,13.709,VALID,5.979,VALID,6.001,VALID,5.951,VALID,24.2,VALID,24.2,VALID,24.2,VALID,23.5,VALID,23.5,VALID,23.5,VALID,23.39,VALID,23.5,VALID,23.3,VALID,368.958,VALID,369.263,VALID,368.652,VALID,23.0,VALID,57.0,VALID,86.0,VALID,1.721,VALID,4.0,VALID,0.398,VALID,0.06,VALID,12.354,
2/12/17,1:20:02 AM,VALID,899.797,VALID,899.8,VALID,899.7,VALID,18.4,VALID,18.4,VALID,18.4,VALID,91.215,VALID,91.4,VALID,91.0,VALID,0.006,VALID,0.028,VALID,0.0,VALID,10.826,VALID,10.838,VALID,10.815,VALID,13.714,VALID,13.731,VALID,13.709,VALID,5.986,VALID,6.001,VALID,5.976,VALID,24.2,VALID,24.2,VALID,24.2,VALID,23.5,VALID,23.5,VALID,23.5,VALID,23.38,VALID,23.4,VALID,23.3,VALID,369.69,VALID,371.704,VALID,368.652,VALID,20.0,VALID,21.0,VALID,288.0,VALID,2.059,VALID,6.797,VALID,0.203,VALID,0.03,VALID,12.35,
