,,,PA_10min,,PA_10min,,PA_10min,,TA_10min,,TA_10min,,TA_10min,,UR_10min,,UR_10min,,UR_10min,,RG_10min,,RG_10min,,RG_10min,,US_20_10min,,US_20_10min,,US_20_10min,,US_60_10min,,US_60_10min,,US_60_10min,,US_40_10min,,US_40_10min,,US_40_10min,,TS_20_10min,,TS_20_10min,,TS_20_10min,,TS_60_10min,,TS_60_10min,,TS_60_10min,,TS_40_10min,,TS_40_10min,,TS_40_10min,,UF_10min,,UF_10min,,UF_10min,,VV_DV_10min,,VV_DV_10min,,VV_DV_10min,,VV_DV_10min,,VV_DV_10min,,VV_DV_10min,,SParServer,,Charger,
date,time,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,DirAvg10m,status,GustDir,status,LullDir,status,SpdAvg10m,status,SpdMax10m,status,SpdMin10m,status,PP_10min,status,External_DC,
10/1/17,12:00:02 AM,VALID,756.72,VALID,891.2,VALID,630.6,VALID,28.042,VALID,42.6,VALID,11.1,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,0.01,VALID,0.029,VALID,0.0,VALID,7.521,VALID,7.521,VALID,7.521,VALID,15.941,VALID,15.956,VALID,15.935,VALID,5.043,VALID,5.076,VALID,5.025,VALID,18.1,VALID,18.1,VALID,18.1,VALID,18.3,VALID,18.3,VALID,18.3,VALID,18.08,VALID,18.1,VALID,18.0,VALID,644.775,VALID,648.804,VALID,643.311,VALID,146.0,VALID,141.0,VALID,138.0,VALID,0.732,VALID,1.398,VALID,0.398,VALID,0.0,VALID,12.39,
10/1/17,12:10:02 AM,VALID,768.378,VALID,890.9,VALID,530.6,VALID,25.591,VALID,52.2,VALID,10.8,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,0.006,VALID,0.029,VALID,0.0,VALID,7.516,VALID,7.521,VALID,7.496,VALID,15.928,VALID,15.935,VALID,15.914,VALID,5.038,VALID,5.076,VALID,5.0,VALID,18.1,VALID,18.1,VALID,18.1,VALID,18.3,VALID,18.3,VALID,18.3,VALID,18.07,VALID,18.1,VALID,18.0,VALID,647.156,VALID,650.024,VALID,639.038,VALID,133.0,VALID,150.0,VALID,138.0,VALID,1.086,VALID,1.5,VALID,0.5,VALID,0.0,VALID,12.379,
10/1/17,12:20:02 AM,VALID,659.49,VALID,682.6,VALID,638.4,VALID,39.777,VALID,43.6,VALID,37.2,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,0.02,VALID,0.063,VALID,0.0,VALID,7.518,VALID,7.521,VALID,7.496,VALID,15.908,VALID,15.914,VALID,15.893,VALID,5.038,VALID,5.051,VALID,5.025,VALID,18.1,VALID,18.1,VALID,18.1,VALID,18.3,VALID,18.3,VALID,18.3,VALID,18.08,VALID,18.1,VALID,18.0,VALID,632.141,VALID,632.935,VALID,631.104,VALID,133.0,VALID,129.0,VALID,141.0,VALID,0.738,VALID,1.102,VALID,0.398,VALID,0.0,VALID,12.364,
10/1/17,12:30:02 AM,VALID,650.86,VALID,680.4,VALID,598.7,VALID,41.005,VALID,48.1,VALID,37.9,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,0.014,VALID,0.038,VALID,0.0,VALID,7.516,VALID,7.521,VALID,7.496,VALID,15.901,VALID,15.914,VALID,15.893,VALID,5.025,VALID,5.051,VALID,4.975,VALID,18.1,VALID,18.1,VALID,18.1,VALID,18.3,VALID,18.3,VALID,18.3,VALID,18.08,VALID,18.1,VALID,18.0,VALID,634.46,VALID,637.817,VALID,631.714,VALID,122.0,VALID,123.0,VALID,98.0,VALID,0.38,VALID,1.102,VALID,0.102,VALID,0.0,VALID,12.375,
10/1/17,12:40:02 AM,VALID,620.953,VALID,646.6,VALID,576.0,VALID,44.153,VALID,48.6,VALID,40.2,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,0.021,VALID,0.062,VALID,0.0,VALID,7.501,VALID,7.521,VALID,7.496,VALID,15.885,VALID,15.914,VALID,15.852,VALID,4.988,VALID,5.0,VALID,4.975,VALID,18.1,VALID,18.1,VALID,18.1,VALID,18.3,VALID,18.3,VALID,18.3,VALID,18.07,VALID,18.1,VALID,18.0,VALID,639.709,VALID,641.479,VALID,637.817,VALID,235.0,VALID,118.0,VALID,321.0,VALID,0.169,VALID,0.398,VALID,0.0,VALID,0.0,VALID,12.374,
10/1/17,12:50:02 AM,VALID,640.073,VALID,674.3,VALID,610.2,VALID,41.768,VALID,46.0,VALID,37.9,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,0.009,VALID,0.043,VALID,0.0,VALID,7.497,VALID,7.521,VALID,7.496,VALID,15.871,VALID,15.893,VALID,15.852,VALID,4.99,VALID,5.0,VALID,4.95,VALID,18.1,VALID,18.1,VALID,18.1,VALID,18.3,VALID,18.3,VALID,18.3,VALID,18.09,VALID,18.1,VALID,18.0,VALID,634.521,VALID,643.311,VALID,614.624,VALID,292.0,VALID,278.0,VALID,267.0,VALID,0.494,VALID,1.102,VALID,0.0,VALID,0.0,VALID,12.371,
10/1/17,1:00:02 AM,VALID,669.248,VALID,724.6,VALID,635.0,VALID,38.397,VALID,42.4,VALID,32.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,0.002,VALID,0.01,VALID,0.0,VALID,7.504,VALID,7.521,VALID,7.496,VALID,15.86,VALID,15.873,VALID,15.831,VALID,4.99,VALID,5.025,VALID,4.95,VALID,18.1,VALID,18.1,VALID,18.1,VALID,18.3,VALID,18.3,VALID,18.3,VALID,18.08,VALID,18.1,VALID,18.0,VALID,614.319,VALID,615.234,VALID,613.403,VALID,293.0,VALID,275.0,VALID,323.0,VALID,0.822,VALID,1.297,VALID,0.102,VALID,0.0,VALID,12.367,
10/1/17,1:10:02 AM,VALID,683.705,VALID,755.3,VALID,560.4,VALID,36.364,VALID,51.6,VALID,27.6,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,0.007,VALID,0.024,VALID,0.0,VALID,7.503,VALID,7.521,VALID,7.496,VALID,15.839,VALID,15.852,VALID,15.831,VALID,4.993,VALID,5.025,VALID,4.975,VALID,18.1,VALID,18.1,VALID,18.1,VALID,18.3,VALID,18.3,VALID,18.3,VALID,18.11,VALID,18.2,VALID,18.1,VALID,597.717,VALID,605.469,VALID,595.093,VALID,72.0,VALID,47.0,VALID,5.0,VALID,0.332,VALID,0.602,VALID,0.102,VALID,0.0,VALID,12.364,
10/1/17,1:20:02 AM,VALID,685.983,VALID,755.3,VALID,619.7,VALID,33.46,VALID,40.8,VALID,28.2,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,0.008,VALID,0.035,VALID,0.0,VALID,7.496,VALID,7.496,VALID,7.496,VALID,15.825,VALID,15.831,VALID,15.81,VALID,4.995,VALID,5.025,VALID,4.975,VALID,18.1,VALID,18.1,VALID,18.1,VALID,18.3,VALID,18.3,VALID,18.3,VALID,18.09,VALID,18.1,VALID,18.0,VALID,597.839,VALID,599.365,VALID,596.313,VALID,300.0,VALID,324.0,VALID,268.0,VALID,0.319,VALID,0.602,VALID,0.0,VALID,0.0,VALID,12.36,
10/1/17,1:30:02 AM,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,0.024,VALID,0.056,VALID,0.0,VALID,7.494,VALID,7.496,VALID,7.472,VALID,15.812,VALID,15.831,VALID,15.79,VALID,4.995,VALID,5.025,VALID,4.95,VALID,18.1,VALID,18.1,VALID,18.1,VALID,18.29,VALID,18.3,VALID,18.2,VALID,18.08,VALID,18.1,VALID,18.0,VALID,589.355,VALID,595.703,VALID,584.717,VALID,21.0,VALID,278.0,VALID,290.0,VALID,0.382,VALID,0.797,VALID,0.0,VALID,0.0,VALID,12.343,
10/1/17,1:40:02 AM,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,0.011,VALID,0.025,VALID,0.0,VALID,7.489,VALID,7.496,VALID,7.472,VALID,15.793,VALID,15.81,VALID,15.769,VALID,4.993,VALID,5.025,VALID,4.95,VALID,18.1,VALID,18.1,VALID,18.1,VALID,18.3,VALID,18.3,VALID,18.3,VALID,18.09,VALID,18.1,VALID,18.0,VALID,580.688,VALID,585.938,VALID,573.12,VALID,104.0,VALID,101.0,VALID,89.0,VALID,0.416,VALID,0.5,VALID,0.203,VALID,0.0,VALID,12.339,
