,,,PA_10min,,PA_10min,,PA_10min,,TA_10min,,TA_10min,,TA_10min,,UR_10min,,UR_10min,,UR_10min,,RG_10min,,RG_10min,,RG_10min,,US_20_10min,,US_20_10min,,US_20_10min,,US_60_10min,,US_60_10min,,US_60_10min,,US_40_10min,,US_40_10min,,US_40_10min,,TS_20_10min,,TS_20_10min,,TS_20_10min,,TS_60_10min,,TS_60_10min,,TS_60_10min,,TS_40_10min,,TS_40_10min,,TS_40_10min,,UF_10min,,UF_10min,,UF_10min,,VV_DV_10min,,VV_DV_10min,,VV_DV_10min,,VV_DV_10min,,VV_DV_10min,,VV_DV_10min,,SParServer,,Charger,
date,time,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,DirAvg10m,status,GustDir,status,LullDir,status,SpdAvg10m,status,SpdMax10m,status,SpdMin10m,status,PP_10min,status,External_DC,
6/6/17,12:00:02 AM,VALID,900.698,VALID,900.8,VALID,900.6,VALID,15.3,VALID,15.3,VALID,15.3,VALID,91.543,VALID,91.6,VALID,91.4,VALID,0.003,VALID,0.011,VALID,0.0,VALID,89.012,VALID,89.796,VALID,88.552,VALID,61.609,VALID,61.961,VALID,61.102,VALID,71.134,VALID,71.63,VALID,70.607,VALID,16.57,VALID,16.6,VALID,16.5,VALID,16.2,VALID,16.2,VALID,16.2,VALID,16.05,VALID,16.1,VALID,16.0,VALID,372.498,VALID,374.146,VALID,371.704,VALID,273.0,VALID,270.0,VALID,355.0,VALID,0.844,VALID,1.703,VALID,0.102,VALID,0.0,VALID,12.393,
6/6/17,12:10:02 AM,VALID,900.603,VALID,900.7,VALID,900.6,VALID,15.315,VALID,15.4,VALID,15.3,VALID,91.332,VALID,91.4,VALID,91.3,VALID,0.001,VALID,0.013,VALID,0.0,VALID,89.079,VALID,89.67,VALID,88.348,VALID,60.667,VALID,61.102,VALID,60.175,VALID,70.818,VALID,71.31,VALID,70.214,VALID,16.58,VALID,16.6,VALID,16.5,VALID,16.21,VALID,16.3,VALID,16.2,VALID,16.07,VALID,16.1,VALID,16.0,VALID,371.826,VALID,372.314,VALID,371.094,VALID,308.0,VALID,49.0,VALID,9.0,VALID,0.421,VALID,1.102,VALID,0.0,VALID,0.0,VALID,12.392,
6/6/17,12:20:02 AM,VALID,900.692,VALID,900.8,VALID,900.6,VALID,15.292,VALID,15.3,VALID,15.2,VALID,91.43,VALID,91.6,VALID,91.3,VALID,0.027,VALID,0.07,VALID,0.004,VALID,88.322,VALID,88.654,VALID,88.124,VALID,59.694,VALID,60.175,VALID,59.197,VALID,71.27,VALID,71.837,VALID,70.806,VALID,16.59,VALID,16.6,VALID,16.5,VALID,16.22,VALID,16.3,VALID,16.2,VALID,16.08,VALID,16.1,VALID,16.0,VALID,371.826,VALID,372.314,VALID,371.704,VALID,270.0,VALID,279.0,VALID,242.0,VALID,1.085,VALID,1.898,VALID,0.203,VALID,0.0,VALID,12.389,
6/6/17,12:30:02 AM,VALID,900.782,VALID,900.8,VALID,900.7,VALID,15.292,VALID,15.3,VALID,15.2,VALID,91.758,VALID,91.8,VALID,91.6,VALID,0.036,VALID,0.066,VALID,0.001,VALID,88.397,VALID,88.819,VALID,88.225,VALID,58.686,VALID,59.197,VALID,58.371,VALID,71.292,VALID,71.707,VALID,70.238,VALID,16.6,VALID,16.6,VALID,16.6,VALID,16.21,VALID,16.3,VALID,16.2,VALID,16.05,VALID,16.1,VALID,16.0,VALID,370.544,VALID,371.704,VALID,369.873,VALID,300.0,VALID,281.0,VALID,282.0,VALID,0.943,VALID,1.602,VALID,0.602,VALID,0.0,VALID,12.387,
6/6/17,12:40:02 AM,VALID,900.808,VALID,900.9,VALID,900.8,VALID,15.3,VALID,15.3,VALID,15.3,VALID,91.863,VALID,91.9,VALID,91.8,VALID,0.052,VALID,0.075,VALID,0.035,VALID,88.349,VALID,88.819,VALID,88.124,VALID,58.277,VALID,58.44,VALID,58.137,VALID,70.975,VALID,71.438,VALID,70.324,VALID,16.57,VALID,16.6,VALID,16.5,VALID,16.21,VALID,16.3,VALID,16.2,VALID,16.06,VALID,16.1,VALID,16.0,VALID,370.239,VALID,370.483,VALID,369.873,VALID,283.0,VALID,280.0,VALID,295.0,VALID,0.641,VALID,1.102,VALID,0.297,VALID,0.0,VALID,12.382,
6/6/17,12:50:02 AM,VALID,900.727,VALID,900.8,VALID,900.6,VALID,15.29,VALID,15.3,VALID,15.2,VALID,91.96,VALID,92.1,VALID,91.9,VALID,0.049,VALID,0.09,VALID,0.001,VALID,88.031,VALID,88.246,VALID,87.82,VALID,58.868,VALID,59.371,VALID,58.44,VALID,70.5,VALID,70.744,VALID,70.092,VALID,16.54,VALID,16.6,VALID,16.5,VALID,16.23,VALID,16.3,VALID,16.2,VALID,16.04,VALID,16.1,VALID,16.0,VALID,371.826,VALID,373.535,VALID,370.483,VALID,302.0,VALID,315.0,VALID,21.0,VALID,0.61,VALID,1.102,VALID,0.102,VALID,0.0,VALID,12.379,
6/6/17,1:00:02 AM,VALID,900.558,VALID,900.6,VALID,900.5,VALID,15.2,VALID,15.2,VALID,15.2,VALID,92.16,VALID,92.2,VALID,92.1,VALID,0.051,VALID,0.074,VALID,0.035,VALID,85.694,VALID,87.881,VALID,84.911,VALID,59.968,VALID,60.668,VALID,59.371,VALID,70.197,VALID,70.595,VALID,69.754,VALID,16.5,VALID,16.5,VALID,16.5,VALID,16.2,VALID,16.2,VALID,16.2,VALID,16.0,VALID,16.0,VALID,16.0,VALID,375.793,VALID,378.418,VALID,373.535,VALID,230.0,VALID,195.0,VALID,218.0,VALID,0.696,VALID,1.0,VALID,0.398,VALID,0.0,VALID,12.361,
6/6/17,1:10:02 AM,VALID,900.582,VALID,900.6,VALID,900.5,VALID,15.2,VALID,15.2,VALID,15.2,VALID,92.217,VALID,92.3,VALID,92.2,VALID,0.033,VALID,0.044,VALID,0.019,VALID,83.377,VALID,84.911,VALID,82.113,VALID,61.044,VALID,61.646,VALID,60.668,VALID,70.335,VALID,70.731,VALID,69.814,VALID,16.5,VALID,16.5,VALID,16.5,VALID,16.21,VALID,16.3,VALID,16.2,VALID,16.03,VALID,16.1,VALID,16.0,VALID,381.042,VALID,382.08,VALID,379.028,VALID,284.0,VALID,277.0,VALID,255.0,VALID,0.946,VALID,1.297,VALID,0.398,VALID,0.0,VALID,12.36,
6/6/17,1:20:02 AM,VALID,900.598,VALID,900.6,VALID,900.5,VALID,15.105,VALID,15.2,VALID,15.1,VALID,92.25,VALID,92.4,VALID,92.1,VALID,0.012,VALID,0.041,VALID,0.0,VALID,75.728,VALID,82.201,VALID,63.5,VALID,61.835,VALID,62.036,VALID,61.547,VALID,69.317,VALID,70.043,VALID,68.675,VALID,16.5,VALID,16.5,VALID,16.5,VALID,16.23,VALID,16.3,VALID,16.2,VALID,16.03,VALID,16.1,VALID,16.0,VALID,387.085,VALID,393.066,VALID,382.69,VALID,304.0,VALID,290.0,VALID,304.0,VALID,0.777,VALID,1.102,VALID,0.5,VALID,0.0,VALID,12.365,
