,,,PA_10min,,PA_10min,,PA_10min,,TA_10min,,TA_10min,,TA_10min,,UR_10min,,UR_10min,,UR_10min,,RG_10min,,RG_10min,,RG_10min,,US_20_10min,,US_20_10min,,US_20_10min,,US_60_10min,,US_60_10min,,US_60_10min,,US_40_10min,,US_40_10min,,US_40_10min,,TS_20_10min,,TS_20_10min,,TS_20_10min,,TS_60_10min,,TS_60_10min,,TS_60_10min,,TS_40_10min,,TS_40_10min,,TS_40_10min,,UF_10min,,UF_10min,,UF_10min,,VV_DV_10min,,VV_DV_10min,,VV_DV_10min,,VV_DV_10min,,VV_DV_10min,,VV_DV_10min,,SParServer,,Charger,
date,time,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,DirAvg10m,status,GustDir,status,LullDir,status,SpdAvg10m,status,SpdMax10m,status,SpdMin10m,status,PP_10min,status,External_DC,
11/28/17,12:00:02 AM,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,0.022,VALID,0.06,VALID,0.0,VALID,9.942,VALID,9.963,VALID,9.939,VALID,19.028,VALID,19.044,VALID,19.005,VALID,11.223,VALID,11.248,VALID,11.18,VALID,21.3,VALID,21.3,VALID,21.3,VALID,20.1,VALID,20.1,VALID,20.1,VALID,20.26,VALID,20.3,VALID,20.2,VALID,329.834,VALID,330.2,VALID,329.59,VALID,54.0,VALID,48.0,VALID,71.0,VALID,4.417,VALID,8.297,VALID,0.5,VALID,0.0,VALID,12.424,
11/28/17,12:10:02 AM,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,0.005,VALID,0.02,VALID,0.0,VALID,9.944,VALID,9.963,VALID,9.939,VALID,19.017,VALID,19.044,VALID,19.005,VALID,11.23,VALID,11.248,VALID,11.203,VALID,21.3,VALID,21.3,VALID,21.3,VALID,20.1,VALID,20.1,VALID,20.1,VALID,20.26,VALID,20.3,VALID,20.2,VALID,330.2,VALID,330.2,VALID,330.2,VALID,66.0,VALID,58.0,VALID,24.0,VALID,3.861,VALID,6.5,VALID,1.703,VALID,0.0,VALID,12.421,
11/28/17,12:20:02 AM,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,0.003,VALID,0.026,VALID,0.0,VALID,9.939,VALID,9.939,VALID,9.939,VALID,19.03,VALID,19.044,VALID,19.024,VALID,11.221,VALID,11.248,VALID,11.18,VALID,21.3,VALID,21.3,VALID,21.3,VALID,20.11,VALID,20.2,VALID,20.1,VALID,20.26,VALID,20.3,VALID,20.2,VALID,330.2,VALID,330.2,VALID,330.2,VALID,72.0,VALID,100.0,VALID,66.0,VALID,3.778,VALID,8.297,VALID,1.297,VALID,0.0,VALID,12.415,
11/28/17,12:30:02 AM,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,0.02,VALID,0.076,VALID,0.0,VALID,9.935,VALID,9.939,VALID,9.916,VALID,19.022,VALID,19.044,VALID,19.005,VALID,11.225,VALID,11.248,VALID,11.18,VALID,21.3,VALID,21.3,VALID,21.3,VALID,20.11,VALID,20.2,VALID,20.1,VALID,20.27,VALID,20.3,VALID,20.2,VALID,330.444,VALID,330.811,VALID,330.2,VALID,56.0,VALID,76.0,VALID,92.0,VALID,3.646,VALID,7.102,VALID,0.898,VALID,0.0,VALID,12.393,
11/28/17,12:40:02 AM,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,0.004,VALID,0.018,VALID,0.0,VALID,9.932,VALID,9.963,VALID,9.916,VALID,19.026,VALID,19.044,VALID,19.005,VALID,11.221,VALID,11.248,VALID,11.18,VALID,21.3,VALID,21.3,VALID,21.3,VALID,20.1,VALID,20.1,VALID,20.1,VALID,20.3,VALID,20.3,VALID,20.3,VALID,330.139,VALID,330.2,VALID,329.59,VALID,61.0,VALID,61.0,VALID,68.0,VALID,4.232,VALID,8.0,VALID,1.0,VALID,0.0,VALID,12.401,
11/28/17,12:50:02 AM,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,0.004,VALID,0.028,VALID,0.0,VALID,9.937,VALID,9.939,VALID,9.916,VALID,19.024,VALID,19.024,VALID,19.005,VALID,11.212,VALID,11.225,VALID,11.18,VALID,21.3,VALID,21.3,VALID,21.3,VALID,20.11,VALID,20.2,VALID,20.1,VALID,20.28,VALID,20.3,VALID,20.2,VALID,329.834,VALID,330.2,VALID,329.59,VALID,73.0,VALID,103.0,VALID,56.0,VALID,3.65,VALID,6.898,VALID,1.398,VALID,0.0,VALID,12.402,
11/28/17,1:00:02 AM,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,0.006,VALID,0.03,VALID,0.0,VALID,9.937,VALID,9.939,VALID,9.916,VALID,19.015,VALID,19.024,VALID,19.005,VALID,11.212,VALID,11.248,VALID,11.18,VALID,21.3,VALID,21.3,VALID,21.3,VALID,20.1,VALID,20.1,VALID,20.1,VALID,20.29,VALID,20.3,VALID,20.2,VALID,329.59,VALID,329.59,VALID,329.59,VALID,66.0,VALID,57.0,VALID,59.0,VALID,4.241,VALID,7.797,VALID,1.203,VALID,0.0,VALID,12.4,
11/28/17,1:10:02 AM,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,0.012,VALID,0.039,VALID,0.0,VALID,9.937,VALID,9.939,VALID,9.916,VALID,19.014,VALID,19.024,VALID,19.005,VALID,11.214,VALID,11.248,VALID,11.18,VALID,21.3,VALID,21.3,VALID,21.3,VALID,20.1,VALID,20.1,VALID,20.1,VALID,20.27,VALID,20.3,VALID,20.2,VALID,329.651,VALID,330.2,VALID,329.59,VALID,68.0,VALID,63.0,VALID,118.0,VALID,2.854,VALID,5.797,VALID,0.898,VALID,0.0,VALID,12.398,
11/28/17,1:20:02 AM,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,0.007,VALID,0.053,VALID,0.0,VALID,9.937,VALID,9.939,VALID,9.916,VALID,19.019,VALID,19.044,VALID,19.005,VALID,11.207,VALID,11.225,VALID,11.157,VALID,21.3,VALID,21.3,VALID,21.3,VALID,20.11,VALID,20.2,VALID,20.1,VALID,20.29,VALID,20.3,VALID,20.2,VALID,329.712,VALID,330.2,VALID,329.59,VALID,76.0,VALID,100.0,VALID,122.0,VALID,2.918,VALID,7.203,VALID,0.602,VALID,0.0,VALID,12.394,
