,,,PA_10min,,PA_10min,,PA_10min,,TA_10min,,TA_10min,,TA_10min,,UR_10min,,UR_10min,,UR_10min,,RG_10min,,RG_10min,,RG_10min,,US_20_10min,,US_20_10min,,US_20_10min,,US_60_10min,,US_60_10min,,US_60_10min,,US_40_10min,,US_40_10min,,US_40_10min,,TS_20_10min,,TS_20_10min,,TS_20_10min,,TS_60_10min,,TS_60_10min,,TS_60_10min,,TS_40_10min,,TS_40_10min,,TS_40_10min,,UF_10min,,UF_10min,,UF_10min,,VV_DV_10min,,VV_DV_10min,,VV_DV_10min,,VV_DV_10min,,VV_DV_10min,,VV_DV_10min,,SParServer,,Charger,
date,time,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,DirAvg10m,status,GustDir,status,LullDir,status,SpdAvg10m,status,SpdMax10m,status,SpdMin10m,status,PP_10min,status,External_DC,
1/12/17,12:00:03 AM,VALID,902.907,VALID,903.0,VALID,902.9,VALID,20.2,VALID,20.2,VALID,20.2,VALID,86.447,VALID,86.8,VALID,86.2,VALID,0.006,VALID,0.019,VALID,0.0,VALID,12.251,VALID,12.259,VALID,12.237,VALID,17.159,VALID,17.183,VALID,17.143,VALID,10.079,VALID,10.102,VALID,10.055,VALID,26.4,VALID,26.4,VALID,26.4,VALID,23.6,VALID,23.6,VALID,23.6,VALID,24.01,VALID,24.1,VALID,24.0,VALID,327.148,VALID,327.148,VALID,327.148,VALID,70.0,VALID,59.0,VALID,63.0,VALID,3.043,VALID,4.797,VALID,0.898,VALID,0.0,VALID,12.399,
1/12/17,12:10:03 AM,VALID,902.8,VALID,902.9,VALID,902.7,VALID,20.088,VALID,20.2,VALID,19.9,VALID,87.015,VALID,88.0,VALID,86.3,VALID,0.001,VALID,0.005,VALID,0.0,VALID,12.244,VALID,12.259,VALID,12.237,VALID,17.163,VALID,17.183,VALID,17.143,VALID,10.09,VALID,10.102,VALID,10.079,VALID,26.4,VALID,26.4,VALID,26.4,VALID,23.6,VALID,23.6,VALID,23.6,VALID,24.04,VALID,24.1,VALID,24.0,VALID,328.674,VALID,329.59,VALID,327.148,VALID,74.0,VALID,62.0,VALID,314.0,VALID,3.366,VALID,5.898,VALID,0.398,VALID,0.0,VALID,12.395,
1/12/17,12:20:03 AM,VALID,902.812,VALID,902.9,VALID,902.8,VALID,19.785,VALID,19.9,VALID,19.7,VALID,88.227,VALID,89.2,VALID,87.5,VALID,0.007,VALID,0.035,VALID,0.0,VALID,12.242,VALID,12.259,VALID,12.237,VALID,17.156,VALID,17.183,VALID,17.122,VALID,10.083,VALID,10.102,VALID,10.055,VALID,26.4,VALID,26.4,VALID,26.4,VALID,23.6,VALID,23.6,VALID,23.6,VALID,24.05,VALID,24.1,VALID,24.0,VALID,329.712,VALID,330.2,VALID,329.59,VALID,83.0,VALID,76.0,VALID,109.0,VALID,2.74,VALID,4.297,VALID,1.297,VALID,0.0,VALID,12.382,
1/12/17,12:30:03 AM,VALID,902.823,VALID,902.9,VALID,902.8,VALID,19.587,VALID,19.7,VALID,19.5,VALID,88.658,VALID,89.7,VALID,87.5,VALID,0.007,VALID,0.031,VALID,0.0,VALID,12.246,VALID,12.259,VALID,12.237,VALID,17.165,VALID,17.203,VALID,17.143,VALID,10.081,VALID,10.125,VALID,10.055,VALID,26.4,VALID,26.4,VALID,26.4,VALID,23.61,VALID,23.7,VALID,23.6,VALID,24.05,VALID,24.1,VALID,24.0,VALID,329.834,VALID,330.2,VALID,329.59,VALID,112.0,VALID,98.0,VALID,128.0,VALID,2.546,VALID,4.0,VALID,1.102,VALID,0.0,VALID,12.372,
1/12/17,12:40:03 AM,VALID,902.773,VALID,902.8,VALID,902.7,VALID,19.46,VALID,19.5,VALID,19.4,VALID,87.422,VALID,87.7,VALID,87.1,VALID,0.005,VALID,0.017,VALID,0.0,VALID,12.242,VALID,12.259,VALID,12.237,VALID,17.159,VALID,17.183,VALID,17.143,VALID,10.083,VALID,10.125,VALID,10.055,VALID,26.4,VALID,26.4,VALID,26.4,VALID,23.61,VALID,23.7,VALID,23.6,VALID,24.08,VALID,24.1,VALID,24.0,VALID,329.285,VALID,329.59,VALID,328.979,VALID,112.0,VALID,107.0,VALID,128.0,VALID,2.512,VALID,4.0,VALID,1.203,VALID,0.0,VALID,12.38,
1/12/17,12:50:02 AM,VALID,902.798,VALID,902.8,VALID,902.7,VALID,19.343,VALID,19.4,VALID,19.3,VALID,87.648,VALID,88.0,VALID,87.3,VALID,0.007,VALID,0.033,VALID,0.0,VALID,12.242,VALID,12.259,VALID,12.237,VALID,17.157,VALID,17.163,VALID,17.143,VALID,10.079,VALID,10.102,VALID,10.055,VALID,26.4,VALID,26.4,VALID,26.4,VALID,23.63,VALID,23.7,VALID,23.6,VALID,24.06,VALID,24.1,VALID,24.0,VALID,328.674,VALID,328.979,VALID,328.369,VALID,114.0,VALID,91.0,VALID,111.0,VALID,2.719,VALID,4.203,VALID,1.703,VALID,0.0,VALID,12.379,
1/12/17,1:00:02 AM,VALID,902.833,VALID,902.9,VALID,902.8,VALID,19.228,VALID,19.3,VALID,19.2,VALID,87.835,VALID,88.3,VALID,87.2,VALID,0.001,VALID,0.009,VALID,0.0,VALID,12.239,VALID,12.259,VALID,12.237,VALID,17.142,VALID,17.163,VALID,17.122,VALID,10.074,VALID,10.102,VALID,10.055,VALID,26.39,VALID,26.4,VALID,26.3,VALID,23.6,VALID,23.6,VALID,23.6,VALID,24.07,VALID,24.1,VALID,24.0,VALID,328.369,VALID,328.369,VALID,328.369,VALID,102.0,VALID,101.0,VALID,90.0,VALID,2.207,VALID,3.898,VALID,1.102,VALID,0.0,VALID,12.375,
1/12/17,1:10:02 AM,VALID,902.882,VALID,902.9,VALID,902.8,VALID,19.128,VALID,19.2,VALID,19.0,VALID,87.308,VALID,87.7,VALID,86.8,VALID,0.004,VALID,0.012,VALID,0.0,VALID,12.239,VALID,12.259,VALID,12.237,VALID,17.141,VALID,17.183,VALID,17.122,VALID,10.069,VALID,10.079,VALID,10.055,VALID,26.37,VALID,26.4,VALID,26.3,VALID,23.62,VALID,23.7,VALID,23.6,VALID,24.1,VALID,24.1,VALID,24.1,VALID,327.82,VALID,328.369,VALID,327.759,VALID,77.0,VALID,57.0,VALID,77.0,VALID,2.231,VALID,4.297,VALID,1.203,VALID,0.0,VALID,12.372,
1/12/17,1:20:02 AM,VALID,902.798,VALID,902.8,VALID,902.7,VALID,18.948,VALID,19.0,VALID,18.9,VALID,87.62,VALID,88.1,VALID,87.0,VALID,0.01,VALID,0.024,VALID,0.0,VALID,12.237,VALID,12.237,VALID,12.237,VALID,17.145,VALID,17.163,VALID,17.122,VALID,10.074,VALID,10.102,VALID,10.055,VALID,26.33,VALID,26.4,VALID,26.3,VALID,23.63,VALID,23.7,VALID,23.6,VALID,24.09,VALID,24.1,VALID,24.0,VALID,327.759,VALID,327.759,VALID,327.759,VALID,87.0,VALID,111.0,VALID,161.0,VALID,2.554,VALID,5.398,VALID,0.5,VALID,0.0,VALID,12.368,
