,,,PA_10min,,PA_10min,,PA_10min,,TA_10min,,TA_10min,,TA_10min,,UR_10min,,UR_10min,,UR_10min,,RG_10min,,RG_10min,,RG_10min,,US_20_10min,,US_20_10min,,US_20_10min,,US_60_10min,,US_60_10min,,US_60_10min,,US_40_10min,,US_40_10min,,US_40_10min,,TS_20_10min,,TS_20_10min,,TS_20_10min,,TS_60_10min,,TS_60_10min,,TS_60_10min,,TS_40_10min,,TS_40_10min,,TS_40_10min,,UF_10min,,UF_10min,,UF_10min,,VV_DV_10min,,VV_DV_10min,,VV_DV_10min,,VV_DV_10min,,VV_DV_10min,,VV_DV_10min,,SParServer,,Charger,
date,time,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,DirAvg10m,status,GustDir,status,LullDir,status,SpdAvg10m,status,SpdMax10m,status,SpdMin10m,status,PP_10min,status,External_DC,
3/24/17,12:00:03 AM,VALID,903.703,VALID,903.8,VALID,903.7,VALID,17.623,VALID,17.7,VALID,17.6,VALID,88.897,VALID,89.1,VALID,88.7,VALID,0.007,VALID,0.03,VALID,0.0,VALID,11.038,VALID,11.043,VALID,11.021,VALID,16.225,VALID,16.245,VALID,16.204,VALID,8.925,VALID,8.956,VALID,8.908,VALID,22.9,VALID,22.9,VALID,22.9,VALID,21.86,VALID,21.9,VALID,21.8,VALID,21.6,VALID,21.6,VALID,21.6,VALID,328.43,VALID,328.979,VALID,328.369,VALID,6.0,VALID,8.0,VALID,170.0,VALID,0.868,VALID,2.5,VALID,0.102,VALID,0.0,VALID,12.397,
3/24/17,12:10:03 AM,VALID,903.797,VALID,903.8,VALID,903.7,VALID,17.697,VALID,17.7,VALID,17.6,VALID,88.713,VALID,88.8,VALID,88.7,VALID,0.008,VALID,0.026,VALID,0.0,VALID,11.023,VALID,11.043,VALID,10.998,VALID,16.232,VALID,16.245,VALID,16.204,VALID,8.918,VALID,8.956,VALID,8.885,VALID,22.9,VALID,22.9,VALID,22.9,VALID,21.86,VALID,21.9,VALID,21.8,VALID,21.6,VALID,21.6,VALID,21.6,VALID,328.491,VALID,328.979,VALID,328.369,VALID,344.0,VALID,13.0,VALID,325.0,VALID,0.506,VALID,1.703,VALID,0.0,VALID,0.0,VALID,12.394,
3/24/17,12:20:03 AM,VALID,903.8,VALID,903.8,VALID,903.8,VALID,17.687,VALID,17.7,VALID,17.6,VALID,88.635,VALID,88.8,VALID,88.5,VALID,0.001,VALID,0.004,VALID,0.0,VALID,11.023,VALID,11.043,VALID,10.998,VALID,16.231,VALID,16.245,VALID,16.224,VALID,8.934,VALID,8.979,VALID,8.908,VALID,22.9,VALID,22.9,VALID,22.9,VALID,21.85,VALID,21.9,VALID,21.8,VALID,21.6,VALID,21.6,VALID,21.6,VALID,328.491,VALID,328.979,VALID,328.369,VALID,11.0,VALID,1.0,VALID,276.0,VALID,1.226,VALID,3.398,VALID,0.203,VALID,0.0,VALID,12.389,
3/24/17,12:30:02 AM,VALID,903.89,VALID,903.9,VALID,903.8,VALID,17.7,VALID,17.7,VALID,17.7,VALID,88.637,VALID,88.7,VALID,88.5,VALID,0.014,VALID,0.058,VALID,0.0,VALID,11.016,VALID,11.021,VALID,10.998,VALID,16.23,VALID,16.245,VALID,16.204,VALID,8.925,VALID,8.956,VALID,8.885,VALID,22.9,VALID,22.9,VALID,22.9,VALID,21.88,VALID,21.9,VALID,21.8,VALID,21.61,VALID,21.7,VALID,21.6,VALID,328.43,VALID,328.979,VALID,328.369,VALID,5.0,VALID,355.0,VALID,223.0,VALID,0.746,VALID,1.703,VALID,0.102,VALID,0.0,VALID,12.386,
3/24/17,12:40:02 AM,VALID,903.86,VALID,904.0,VALID,903.8,VALID,17.642,VALID,17.7,VALID,17.6,VALID,88.33,VALID,88.5,VALID,88.2,VALID,0.011,VALID,0.038,VALID,0.0,VALID,11.018,VALID,11.043,VALID,10.998,VALID,16.226,VALID,16.245,VALID,16.204,VALID,8.925,VALID,8.956,VALID,8.885,VALID,22.9,VALID,22.9,VALID,22.9,VALID,21.85,VALID,21.9,VALID,21.8,VALID,21.62,VALID,21.7,VALID,21.6,VALID,328.369,VALID,328.369,VALID,328.369,VALID,47.0,VALID,36.0,VALID,183.0,VALID,0.758,VALID,1.703,VALID,0.102,VALID,0.0,VALID,12.366,
3/24/17,12:50:02 AM,VALID,903.867,VALID,903.9,VALID,903.8,VALID,17.593,VALID,17.6,VALID,17.5,VALID,88.335,VALID,88.5,VALID,88.2,VALID,0.02,VALID,0.048,VALID,0.0,VALID,11.016,VALID,11.021,VALID,10.998,VALID,16.237,VALID,16.265,VALID,16.224,VALID,8.915,VALID,8.956,VALID,8.885,VALID,22.9,VALID,22.9,VALID,22.9,VALID,21.87,VALID,21.9,VALID,21.8,VALID,21.62,VALID,21.7,VALID,21.6,VALID,328.491,VALID,328.979,VALID,328.369,VALID,58.0,VALID,58.0,VALID,106.0,VALID,1.731,VALID,2.898,VALID,0.297,VALID,0.0,VALID,12.367,
3/24/17,1:00:02 AM,VALID,903.862,VALID,903.9,VALID,903.8,VALID,17.5,VALID,17.5,VALID,17.5,VALID,88.402,VALID,88.5,VALID,88.2,VALID,0.012,VALID,0.038,VALID,0.0,VALID,11.016,VALID,11.021,VALID,10.998,VALID,16.231,VALID,16.265,VALID,16.204,VALID,8.925,VALID,8.956,VALID,8.885,VALID,22.9,VALID,22.9,VALID,22.9,VALID,21.85,VALID,21.9,VALID,21.8,VALID,21.62,VALID,21.7,VALID,21.6,VALID,328.491,VALID,328.979,VALID,328.369,VALID,51.0,VALID,46.0,VALID,55.0,VALID,1.384,VALID,2.602,VALID,0.297,VALID,0.0,VALID,12.371,
3/24/17,1:10:02 AM,VALID,903.873,VALID,903.9,VALID,903.8,VALID,17.459,VALID,17.5,VALID,17.4,VALID,88.368,VALID,88.5,VALID,88.3,VALID,0.009,VALID,0.023,VALID,0.0,VALID,11.018,VALID,11.021,VALID,10.998,VALID,16.238,VALID,16.265,VALID,16.224,VALID,8.92,VALID,8.956,VALID,8.885,VALID,22.9,VALID,22.9,VALID,22.9,VALID,21.85,VALID,21.9,VALID,21.8,VALID,21.64,VALID,21.7,VALID,21.6,VALID,328.613,VALID,328.979,VALID,328.369,VALID,34.0,VALID,11.0,VALID,25.0,VALID,1.468,VALID,2.898,VALID,0.398,VALID,0.0,VALID,12.37,
3/24/17,1:20:02 AM,VALID,903.84,VALID,903.9,VALID,903.8,VALID,17.4,VALID,17.4,VALID,17.4,VALID,88.54,VALID,88.6,VALID,88.4,VALID,0.005,VALID,0.021,VALID,0.0,VALID,11.007,VALID,11.021,VALID,10.998,VALID,16.241,VALID,16.265,VALID,16.204,VALID,8.925,VALID,8.932,VALID,8.908,VALID,22.9,VALID,22.9,VALID,22.9,VALID,21.88,VALID,21.9,VALID,21.8,VALID,21.66,VALID,21.7,VALID,21.6,VALID,328.552,VALID,328.979,VALID,328.369,VALID,78.0,VALID,46.0,VALID,97.0,VALID,0.96,VALID,2.398,VALID,0.203,VALID,0.0,VALID,12.365,
