,,,PA_10min,,PA_10min,,PA_10min,,TA_10min,,TA_10min,,TA_10min,,UR_10min,,UR_10min,,UR_10min,,RG_10min,,RG_10min,,RG_10min,,US_20_10min,,US_20_10min,,US_20_10min,,US_60_10min,,US_60_10min,,US_60_10min,,US_40_10min,,US_40_10min,,US_40_10min,,TS_20_10min,,TS_20_10min,,TS_20_10min,,TS_60_10min,,TS_60_10min,,TS_60_10min,,TS_40_10min,,TS_40_10min,,TS_40_10min,,UF_10min,,UF_10min,,UF_10min,,VV_DV_10min,,VV_DV_10min,,VV_DV_10min,,VV_DV_10min,,VV_DV_10min,,VV_DV_10min,,SParServer,,Charger,
date,time,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,DirAvg10m,status,GustDir,status,LullDir,status,SpdAvg10m,status,SpdMax10m,status,SpdMin10m,status,PP_10min,status,External_DC,
10/20/17,12:00:03 AM,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,0.024,VALID,0.078,VALID,0.0,VALID,8.369,VALID,8.386,VALID,8.362,VALID,17.557,VALID,17.565,VALID,17.545,VALID,8.851,VALID,8.861,VALID,8.837,VALID,20.1,VALID,20.1,VALID,20.1,VALID,19.1,VALID,19.1,VALID,19.1,VALID,19.4,VALID,19.5,VALID,19.3,VALID,608.215,VALID,609.131,VALID,606.079,VALID,266.0,VALID,191.0,VALID,318.0,VALID,0.172,VALID,0.398,VALID,0.0,VALID,0.0,VALID,12.391,
10/20/17,12:10:03 AM,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,0.013,VALID,0.033,VALID,0.0,VALID,8.369,VALID,8.386,VALID,8.362,VALID,17.565,VALID,17.585,VALID,17.545,VALID,8.851,VALID,8.885,VALID,8.814,VALID,20.1,VALID,20.1,VALID,20.1,VALID,19.1,VALID,19.1,VALID,19.1,VALID,19.4,VALID,19.4,VALID,19.4,VALID,609.131,VALID,610.352,VALID,607.91,VALID,270.0,VALID,269.0,VALID,55.0,VALID,0.362,VALID,0.703,VALID,0.102,VALID,0.0,VALID,12.388,
10/20/17,12:20:03 AM,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,0.01,VALID,0.028,VALID,0.0,VALID,8.366,VALID,8.386,VALID,8.362,VALID,17.557,VALID,17.565,VALID,17.545,VALID,8.863,VALID,8.885,VALID,8.837,VALID,20.1,VALID,20.1,VALID,20.1,VALID,19.1,VALID,19.1,VALID,19.1,VALID,19.4,VALID,19.4,VALID,19.4,VALID,610.779,VALID,611.572,VALID,610.352,VALID,117.0,VALID,53.0,VALID,269.0,VALID,0.306,VALID,0.797,VALID,0.102,VALID,0.0,VALID,12.384,
10/20/17,12:30:03 AM,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,0.017,VALID,0.04,VALID,0.0,VALID,8.381,VALID,8.386,VALID,8.362,VALID,17.565,VALID,17.565,VALID,17.545,VALID,8.854,VALID,8.885,VALID,8.814,VALID,20.1,VALID,20.1,VALID,20.1,VALID,19.1,VALID,19.1,VALID,19.1,VALID,19.41,VALID,19.5,VALID,19.4,VALID,608.154,VALID,610.352,VALID,606.689,VALID,74.0,VALID,91.0,VALID,40.0,VALID,0.576,VALID,1.102,VALID,0.297,VALID,0.0,VALID,12.381,
10/20/17,12:40:03 AM,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,0.041,VALID,0.089,VALID,0.02,VALID,8.371,VALID,8.386,VALID,8.362,VALID,17.556,VALID,17.565,VALID,17.545,VALID,8.851,VALID,8.885,VALID,8.814,VALID,20.1,VALID,20.1,VALID,20.1,VALID,19.1,VALID,19.1,VALID,19.1,VALID,19.41,VALID,19.5,VALID,19.3,VALID,611.633,VALID,614.014,VALID,609.131,VALID,139.0,VALID,169.0,VALID,91.0,VALID,1.366,VALID,2.0,VALID,1.0,VALID,0.0,VALID,12.377,
10/20/17,12:50:03 AM,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,0.017,VALID,0.046,VALID,0.0,VALID,8.364,VALID,8.386,VALID,8.362,VALID,17.557,VALID,17.565,VALID,17.545,VALID,8.842,VALID,8.885,VALID,8.814,VALID,20.1,VALID,20.1,VALID,20.1,VALID,19.1,VALID,19.1,VALID,19.1,VALID,19.42,VALID,19.5,VALID,19.4,VALID,601.746,VALID,614.624,VALID,599.365,VALID,144.0,VALID,167.0,VALID,142.0,VALID,1.313,VALID,1.703,VALID,0.797,VALID,0.0,VALID,12.356,
10/20/17,1:00:02 AM,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,0.007,VALID,0.029,VALID,0.0,VALID,8.362,VALID,8.362,VALID,8.362,VALID,17.563,VALID,17.565,VALID,17.545,VALID,8.868,VALID,8.908,VALID,8.814,VALID,20.1,VALID,20.1,VALID,20.1,VALID,19.1,VALID,19.1,VALID,19.1,VALID,19.4,VALID,19.4,VALID,19.4,VALID,601.257,VALID,602.417,VALID,596.313,VALID,173.0,VALID,173.0,VALID,226.0,VALID,0.961,VALID,1.398,VALID,0.297,VALID,0.0,VALID,12.363,
10/20/17,1:10:02 AM,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,0.002,VALID,0.017,VALID,0.0,VALID,8.362,VALID,8.362,VALID,8.362,VALID,17.561,VALID,17.585,VALID,17.545,VALID,8.854,VALID,8.861,VALID,8.814,VALID,20.1,VALID,20.1,VALID,20.1,VALID,19.1,VALID,19.1,VALID,19.1,VALID,19.4,VALID,19.5,VALID,19.3,VALID,596.436,VALID,596.924,VALID,595.703,VALID,5.0,VALID,45.0,VALID,83.0,VALID,0.613,VALID,1.203,VALID,0.0,VALID,0.0,VALID,12.367,
10/20/17,1:20:02 AM,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,0.036,VALID,0.064,VALID,0.0,VALID,8.362,VALID,8.362,VALID,8.362,VALID,17.561,VALID,17.565,VALID,17.545,VALID,8.863,VALID,8.885,VALID,8.814,VALID,20.1,VALID,20.1,VALID,20.1,VALID,19.1,VALID,19.1,VALID,19.1,VALID,19.4,VALID,19.4,VALID,19.4,VALID,593.994,VALID,596.313,VALID,587.158,VALID,285.0,VALID,284.0,VALID,210.0,VALID,0.725,VALID,1.203,VALID,0.102,VALID,0.0,VALID,12.364,
