,,,PA_10min,,PA_10min,,PA_10min,,TA_10min,,TA_10min,,TA_10min,,UR_10min,,UR_10min,,UR_10min,,RG_10min,,RG_10min,,RG_10min,,US_20_10min,,US_20_10min,,US_20_10min,,US_60_10min,,US_60_10min,,US_60_10min,,US_40_10min,,US_40_10min,,US_40_10min,,TS_20_10min,,TS_20_10min,,TS_20_10min,,TS_60_10min,,TS_60_10min,,TS_60_10min,,TS_40_10min,,TS_40_10min,,TS_40_10min,,UF_10min,,UF_10min,,UF_10min,,VV_DV_10min,,VV_DV_10min,,VV_DV_10min,,VV_DV_10min,,VV_DV_10min,,VV_DV_10min,,SParServer,,Charger,
date,time,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,DirAvg10m,status,GustDir,status,LullDir,status,SpdAvg10m,status,SpdMax10m,status,SpdMin10m,status,PP_10min,status,External_DC,
9/27/17,12:00:03 AM,VALID,904.0,VALID,904.0,VALID,904.0,VALID,13.591,VALID,13.6,VALID,13.5,VALID,89.855,VALID,90.1,VALID,89.6,VALID,0.019,VALID,0.051,VALID,0.0,VALID,2.302,VALID,2.323,VALID,2.297,VALID,12.31,VALID,12.326,VALID,12.304,VALID,4.593,VALID,4.621,VALID,4.57,VALID,19.9,VALID,19.9,VALID,19.9,VALID,18.5,VALID,18.5,VALID,18.5,VALID,18.59,VALID,18.6,VALID,18.5,VALID,521.912,VALID,525.513,VALID,518.188,VALID,314.0,VALID,313.0,VALID,340.0,VALID,1.291,VALID,1.898,VALID,0.703,VALID,0.0,VALID,12.393,
9/27/17,12:10:03 AM,VALID,904.055,VALID,904.1,VALID,904.0,VALID,13.574,VALID,13.6,VALID,13.5,VALID,89.945,VALID,90.5,VALID,89.5,VALID,0.019,VALID,0.052,VALID,0.0,VALID,2.305,VALID,2.323,VALID,2.297,VALID,12.302,VALID,12.326,VALID,12.282,VALID,4.59,VALID,4.621,VALID,4.57,VALID,19.9,VALID,19.9,VALID,19.9,VALID,18.48,VALID,18.5,VALID,18.4,VALID,18.58,VALID,18.6,VALID,18.5,VALID,528.442,VALID,532.227,VALID,523.682,VALID,323.0,VALID,347.0,VALID,332.0,VALID,1.089,VALID,2.102,VALID,0.102,VALID,0.0,VALID,12.39,
9/27/17,12:20:02 AM,VALID,904.1,VALID,904.1,VALID,904.1,VALID,13.498,VALID,13.6,VALID,13.4,VALID,90.138,VALID,90.7,VALID,89.7,VALID,0.003,VALID,0.017,VALID,0.0,VALID,2.307,VALID,2.323,VALID,2.297,VALID,12.315,VALID,12.326,VALID,12.304,VALID,4.588,VALID,4.621,VALID,4.545,VALID,19.9,VALID,19.9,VALID,19.9,VALID,18.49,VALID,18.5,VALID,18.4,VALID,18.58,VALID,18.6,VALID,18.5,VALID,533.936,VALID,534.668,VALID,532.227,VALID,325.0,VALID,336.0,VALID,327.0,VALID,1.485,VALID,2.797,VALID,0.398,VALID,0.0,VALID,12.387,
9/27/17,12:30:02 AM,VALID,904.093,VALID,904.1,VALID,904.0,VALID,13.7,VALID,13.9,VALID,13.6,VALID,90.527,VALID,90.7,VALID,90.3,VALID,0.007,VALID,0.03,VALID,0.0,VALID,2.299,VALID,2.323,VALID,2.297,VALID,12.304,VALID,12.326,VALID,12.282,VALID,4.593,VALID,4.621,VALID,4.57,VALID,19.9,VALID,19.9,VALID,19.9,VALID,18.49,VALID,18.5,VALID,18.4,VALID,18.6,VALID,18.7,VALID,18.5,VALID,531.616,VALID,532.837,VALID,529.785,VALID,358.0,VALID,43.0,VALID,352.0,VALID,1.808,VALID,4.5,VALID,0.297,VALID,0.0,VALID,12.383,
9/27/17,12:40:02 AM,VALID,904.002,VALID,904.1,VALID,904.0,VALID,13.962,VALID,14.0,VALID,13.9,VALID,90.208,VALID,90.5,VALID,90.1,VALID,0.008,VALID,0.024,VALID,0.0,VALID,2.316,VALID,2.323,VALID,2.297,VALID,12.299,VALID,12.326,VALID,12.282,VALID,4.59,VALID,4.621,VALID,4.57,VALID,19.9,VALID,19.9,VALID,19.9,VALID,18.48,VALID,18.5,VALID,18.4,VALID,18.6,VALID,18.6,VALID,18.6,VALID,527.1,VALID,529.785,VALID,524.902,VALID,7.0,VALID,19.0,VALID,347.0,VALID,2.697,VALID,5.703,VALID,0.898,VALID,0.0,VALID,12.362,
9/27/17,12:50:02 AM,VALID,903.978,VALID,904.0,VALID,903.9,VALID,14.072,VALID,14.1,VALID,14.0,VALID,90.127,VALID,90.2,VALID,90.1,VALID,0.004,VALID,0.02,VALID,0.0,VALID,2.315,VALID,2.323,VALID,2.297,VALID,12.311,VALID,12.326,VALID,12.282,VALID,4.593,VALID,4.621,VALID,4.57,VALID,19.9,VALID,19.9,VALID,19.9,VALID,18.5,VALID,18.5,VALID,18.5,VALID,18.6,VALID,18.7,VALID,18.5,VALID,522.156,VALID,524.292,VALID,520.02,VALID,18.0,VALID,49.0,VALID,280.0,VALID,2.257,VALID,4.797,VALID,0.203,VALID,0.0,VALID,12.374,
9/27/17,1:00:02 AM,VALID,903.95,VALID,904.0,VALID,903.9,VALID,14.1,VALID,14.1,VALID,14.1,VALID,90.143,VALID,90.2,VALID,90.1,VALID,0.005,VALID,0.032,VALID,0.0,VALID,2.32,VALID,2.323,VALID,2.297,VALID,12.299,VALID,12.326,VALID,12.282,VALID,4.59,VALID,4.621,VALID,4.545,VALID,19.9,VALID,19.9,VALID,19.9,VALID,18.5,VALID,18.5,VALID,18.5,VALID,18.59,VALID,18.6,VALID,18.5,VALID,517.822,VALID,520.02,VALID,515.747,VALID,26.0,VALID,62.0,VALID,264.0,VALID,2.237,VALID,4.703,VALID,0.398,VALID,0.0,VALID,12.378,
9/27/17,1:10:02 AM,VALID,903.842,VALID,903.9,VALID,903.8,VALID,14.108,VALID,14.2,VALID,14.1,VALID,90.23,VALID,90.3,VALID,90.1,VALID,0.004,VALID,0.037,VALID,0.0,VALID,2.317,VALID,2.323,VALID,2.297,VALID,12.291,VALID,12.326,VALID,12.259,VALID,4.598,VALID,4.621,VALID,4.57,VALID,19.9,VALID,19.9,VALID,19.9,VALID,18.5,VALID,18.5,VALID,18.5,VALID,18.61,VALID,18.7,VALID,18.6,VALID,513.794,VALID,515.137,VALID,512.695,VALID,41.0,VALID,18.0,VALID,27.0,VALID,1.904,VALID,5.5,VALID,0.203,VALID,0.0,VALID,12.378,
9/27/17,1:20:02 AM,VALID,903.797,VALID,903.8,VALID,903.7,VALID,14.19,VALID,14.2,VALID,14.1,VALID,90.183,VALID,90.2,VALID,90.0,VALID,0.03,VALID,0.056,VALID,0.0,VALID,2.31,VALID,2.323,VALID,2.297,VALID,12.295,VALID,12.326,VALID,12.282,VALID,4.59,VALID,4.621,VALID,4.57,VALID,19.9,VALID,19.9,VALID,19.9,VALID,18.5,VALID,18.5,VALID,18.5,VALID,18.6,VALID,18.6,VALID,18.6,VALID,510.315,VALID,512.085,VALID,509.033,VALID,10.0,VALID,19.0,VALID,57.0,VALID,1.798,VALID,5.5,VALID,0.102,VALID,0.0,VALID,12.375,
9/27/17,1:30:02 AM,VALID,903.838,VALID,903.9,VALID,903.8,VALID,14.2,VALID,14.2,VALID,14.2,VALID,90.158,VALID,90.2,VALID,90.1,VALID,0.01,VALID,0.035,VALID,0.0,VALID,2.304,VALID,2.323,VALID,2.297,VALID,12.301,VALID,12.326,VALID,12.282,VALID,4.59,VALID,4.621,VALID,4.57,VALID,19.89,VALID,19.9,VALID,19.8,VALID,18.5,VALID,18.5,VALID,18.5,VALID,18.62,VALID,18.7,VALID,18.6,VALID,507.263,VALID,508.423,VALID,505.371,VALID,360.0,VALID,47.0,VALID,104.0,VALID,1.302,VALID,3.398,VALID,0.102,VALID,0.0,VALID,12.372,
9/27/17,1:40:02 AM,VALID,903.9,VALID,903.9,VALID,903.9,VALID,14.2,VALID,14.2,VALID,14.2,VALID,90.263,VALID,90.3,VALID,90.2,VALID,0.001,VALID,0.011,VALID,0.0,VALID,2.31,VALID,2.349,VALID,2.297,VALID,12.293,VALID,12.304,VALID,12.282,VALID,4.595,VALID,4.621,VALID,4.57,VALID,19.83,VALID,19.9,VALID,19.8,VALID,18.49,VALID,18.5,VALID,18.4,VALID,18.61,VALID,18.7,VALID,18.6,VALID,503.784,VALID,505.371,VALID,502.319,VALID,11.0,VALID,359.0,VALID,52.0,VALID,1.681,VALID,4.398,VALID,0.102,VALID,0.0,VALID,12.37,
9/27/17,1:50:02 AM,VALID,903.865,VALID,903.9,VALID,903.8,VALID,14.165,VALID,14.2,VALID,14.1,VALID,90.297,VALID,90.4,VALID,90.2,VALID,0.008,VALID,0.028,VALID,0.0,VALID,2.297,VALID,2.297,VALID,2.297,VALID,12.286,VALID,12.304,VALID,12.282,VALID,4.588,VALID,4.621,VALID,4.545,VALID,19.8,VALID,19.8,VALID,19.8,VALID,18.5,VALID,18.5,VALID,18.5,VALID,18.62,VALID,18.7,VALID,18.6,VALID,499.817,VALID,501.709,VALID,498.047,VALID,28.0,VALID,58.0,VALID,115.0,VALID,2.421,VALID,5.0,VALID,0.5,VALID,0.0,VALID,12.359,
9/27/17,2:00:02 AM,VALID,903.727,VALID,903.8,VALID,903.7,VALID,14.088,VALID,14.1,VALID,14.0,VALID,90.577,VALID,90.8,VALID,90.4,VALID,0.004,VALID,0.034,VALID,0.0,VALID,2.305,VALID,2.323,VALID,2.297,VALID,12.281,VALID,12.304,VALID,12.259,VALID,4.58,VALID,4.595,VALID,4.57,VALID,19.8,VALID,19.8,VALID,19.8,VALID,18.5,VALID,18.5,VALID,18.5,VALID,18.61,VALID,18.7,VALID,18.6,VALID,495.544,VALID,497.437,VALID,493.774,VALID,28.0,VALID,11.0,VALID,56.0,VALID,2.305,VALID,5.297,VALID,0.102,VALID,0.0,VALID,12.345,
9/27/17,2:10:02 AM,VALID,903.702,VALID,903.8,VALID,903.6,VALID,14.1,VALID,14.1,VALID,14.1,VALID,90.978,VALID,91.2,VALID,90.8,VALID,0.022,VALID,0.054,VALID,0.0,VALID,2.308,VALID,2.323,VALID,2.297,VALID,12.291,VALID,12.304,VALID,12.259,VALID,4.593,VALID,4.621,VALID,4.57,VALID,19.8,VALID,19.8,VALID,19.8,VALID,18.5,VALID,18.5,VALID,18.5,VALID,18.61,VALID,18.7,VALID,18.6,VALID,491.089,VALID,493.164,VALID,489.502,VALID,12.0,VALID,21.0,VALID,310.0,VALID,1.851,VALID,4.0,VALID,0.203,VALID,0.0,VALID,12.355,
9/27/17,2:20:02 AM,VALID,903.478,VALID,903.6,VALID,903.3,VALID,14.1,VALID,14.1,VALID,14.1,VALID,91.178,VALID,91.3,VALID,91.0,VALID,0.024,VALID,0.061,VALID,0.0,VALID,2.323,VALID,2.323,VALID,2.323,VALID,12.288,VALID,12.304,VALID,12.259,VALID,4.59,VALID,4.621,VALID,4.545,VALID,19.8,VALID,19.8,VALID,19.8,VALID,18.5,VALID,18.5,VALID,18.5,VALID,18.61,VALID,18.7,VALID,18.6,VALID,487.915,VALID,488.892,VALID,486.45,VALID,37.0,VALID,43.0,VALID,229.0,VALID,1.064,VALID,3.703,VALID,0.102,VALID,0.0,VALID,12.355,
9/27/17,2:30:02 AM,VALID,903.208,VALID,903.3,VALID,903.1,VALID,14.023,VALID,14.1,VALID,14.0,VALID,91.05,VALID,91.2,VALID,90.8,VALID,0.009,VALID,0.044,VALID,0.0,VALID,2.32,VALID,2.323,VALID,2.297,VALID,12.288,VALID,12.304,VALID,12.282,VALID,4.595,VALID,4.621,VALID,4.57,VALID,19.8,VALID,19.8,VALID,19.8,VALID,18.5,VALID,18.5,VALID,18.5,VALID,18.64,VALID,18.7,VALID,18.6,VALID,484.253,VALID,486.45,VALID,482.178,VALID,37.0,VALID,43.0,VALID,203.0,VALID,1.896,VALID,4.398,VALID,0.102,VALID,0.0,VALID,12.351,
9/27/17,2:40:02 AM,VALID,903.097,VALID,903.1,VALID,903.0,VALID,14.0,VALID,14.0,VALID,14.0,VALID,91.32,VALID,91.4,VALID,91.2,VALID,0.005,VALID,0.037,VALID,0.0,VALID,2.297,VALID,2.297,VALID,2.297,VALID,12.284,VALID,12.304,VALID,12.259,VALID,4.583,VALID,4.595,VALID,4.545,VALID,19.8,VALID,19.8,VALID,19.8,VALID,18.52,VALID,18.6,VALID,18.5,VALID,18.62,VALID,18.7,VALID,18.6,VALID,480.164,VALID,482.178,VALID,478.516,VALID,8.0,VALID,74.0,VALID,334.0,VALID,1.369,VALID,3.602,VALID,0.102,VALID,0.0,VALID,12.347,
9/27/17,2:50:02 AM,VALID,903.118,VALID,903.2,VALID,903.1,VALID,14.0,VALID,14.0,VALID,14.0,VALID,91.3,VALID,91.3,VALID,91.3,VALID,0.019,VALID,0.07,VALID,0.0,VALID,2.297,VALID,2.297,VALID,2.297,VALID,12.282,VALID,12.304,VALID,12.259,VALID,4.585,VALID,4.621,VALID,4.57,VALID,19.76,VALID,19.8,VALID,19.7,VALID,18.5,VALID,18.5,VALID,18.5,VALID,18.64,VALID,18.7,VALID,18.6,VALID,477.478,VALID,478.516,VALID,476.685,VALID,60.0,VALID,307.0,VALID,164.0,VALID,0.479,VALID,1.703,VALID,0.0,VALID,0.0,VALID,12.343,
